SETUP
COEFFILE="EmploymentLocationCoeffs.tab"
TABLEFILE="EmploymentLocationRes.tab"
COLUMNTABLEFILE="EmploymentLocationColRes.tab"
US2COEF_FILE="employment_location_choice_model_coefficients.tab"
US2SPEC_FILE="employment_location_choice_model_specification.tab"
#RESTRFILE=""

PARSERULES
PMODELID="Sector"
PALT=""
PMODEL="Discrete choice \(multinomial logit\) model"
#PVARFORM=""

VARIABLES
# The VARIABLES command contains rows, with three comma delimited
#	strings.
#	The order of the variables in the rows controls the output order.
#	1st string: Variable name in Model output
#	2nd string: Short name for variable (coeff file name)
#	3rd string: Long description for variable (word table legend)
#	4th string: Actual name of variable
#
#Limdep Coeff	Coeff file	Table legend	Limdep variable	UrbanSim 2 variables		
BDEVM2	DEVM2	DevM2 dummy variable		devtype_10
BDEVM3	DEVM3	DevM3 dummy variable		devtype_11
BDEVM4	DEVM4	DevM4 dummy variable		devtype_12
BDEVI1	DEVI1	DevI1 dummy variable		devtype_20
BDEVI2	DEVI2	DevI2 dummy variable		devtype_21
BDEVI3	DEVI3	DevI3 dummy variable		devtype_22
BDEVG	DEVG	DevG dummy variable		devtype_23
BACCPOP	ACCPOP	Accessibility to population		
BSAME600	SAME600	Same sector employment within 600 m		same_sector_employment_within_walking_distance
BBAS600	BAS600	Basic sector employment within 600 m		basic_sector_employment_within_walking_distance
BRET600	RET600	Retail sector employment within 600 m		retail_sector_employment_within_walking_distance
BSER600	SER600	Service sector employment within 600 m		service_sector_employment_within_walking_distance
BUNIT600	UNIT600	Housing units within  600m		residential_units_within_walking_distance
BLVAC600	LVAC600	Average land value/acre within 600 m		average_land_value_per_acre_within_walking_distance
BART	ART	Arterial indicator		is_near_arterial
BHWY	HWY	Highway indicator		is_near_highway
BDISTHWY	DISTHWY	Distance to highway		
BLTSQ	LogSqft	Ln(Total commercial sqft in cell)		ln_commercial_sqft
BLTUN	LogTotUnit	Ln(Total number of units in cell)		ln_residential_units
BLTVA	LogTotVal	Ln(Total value of cell)		ln_total_value
BLAPO	LogAccPop	Ln(Access to population)		ln_work_access_to_population_1
BLAEM	LogAccEmp	Ln(Access to employment)		ln_work_access_to_employment_1
BLDHW	LogDistHwy	Ln(Distance to highway)		ln_distance_to_highway
BCBT	cbdTime	Travel time to CBD (min.)		travel_time_to_CBD
BAIR	airTime	Travel time to airport (min.)		travel_time_to_airport
BLUNI	LogUnit600	Ln(Number of units within 600 m)		ln_residential_units_within_walking_distance
BLLVA	LogLVAC600	Ln(Land value per acre within 600 m)		ln_average_land_value_per_acre_within_walking_distance
BLVAL	LogValUnit600	Ln(Improvement value per unit within 600 m)		ln_improvement_value_per_residential_unit_within_walking_distance
BDRE	devRes	Residential		devtype_dynamic_land_use_variables_residential
BDMI	devMix	Mixed use		devtype_dynamic_land_use_variables_mixed_use
BD17	dev17	Commercial 17		devtype_17
BD18	dev18	Commercial 18		devtype_18
BD19	dev19	Commercial 19		devtype_19
BDIG	devIndGov	Industrial/Governmental		devtype_industrial_or_governmental
#BS00	s00	Employment in sector 0 within 600 m		
BS01	s01	Employment in sector 1 within 600 m		employment_in_sector_1_within_walking_distance
BS02	s02	Employment in sector 2 within 600 m		employment_in_sector_2_within_walking_distance
BS03	s03	Employment in sector 3 within 600 m		employment_in_sector_3_within_walking_distance
BS04	s04	Employment in sector 4 within 600 m		employment_in_sector_4_within_walking_distance
BS05	s05	Employment in sector 5 within 600 m		employment_in_sector_5_within_walking_distance
BS06	s06	Employment in sector 6 within 600 m		employment_in_sector_6_within_walking_distance
BS07	s07	Employment in sector 7 within 600 m		employment_in_sector_7_within_walking_distance
BS08	s08	Employment in sector 8 within 600 m		employment_in_sector_8_within_walking_distance
BS09	s09	Employment in sector 9 within 600 m		employment_in_sector_9_within_walking_distance
BS10	s10	Employment in sector 10 within 600 m		employment_in_sector_10_within_walking_distance
BS11	s11	Employment in sector 11 within 600 m		employment_in_sector_11_within_walking_distance
BS12	s12	Employment in sector 12 within 600 m		employment_in_sector_12_within_walking_distance
BS13	s13	Employment in sector 13 within 600 m		employment_in_sector_13_within_walking_distance
BS14	s14	Employment in sector 14 within 600 m		employment_in_sector_14_within_walking_distance
#BS15	s15	Employment in sector 15 within 600 m		employment_in_sector_15_within_walking_distance
BLTJ	LogTotJob	Ln(Total job spaces)	LTJ	ln_total_job_locations
BLAJ	LogAvJob	Ln(Available job spaces)	LAJ	ln_available_job_locations
