sub_model_id	t_statistic	estimate	coefficient_name	standard_error
2	-3.52508473396	-2.11676979065	act_2_2	0.615671753883
2	2.27052736282	0.215982168913	c750_2_1	0.0951242223382
2	2.28221297264	0.66849642992	di_2_1	0.29291588068
2	1.81131803989	0.490725874901	dloc_2_1	0.270921975374
2	3.16800761223	0.632548630238	dos_2_1	0.199667647481
2	-3.80162620544	-2.61227607727	dtim_2_1	0.687147021294
2	5.12426185608	8.48137133289e-005	hai_2_1	1.65514011314e-005
2	-3.86813282967	-2.74010396004	hd1_2_1	0.708378970623
2	-3.69307255745	-1.07200324535	hmps_2_1	0.290274083614
2	-2.85178279877	-0.676135361195	pfld_2_1	0.23709218204
2	4.8553276062	1.54986774921	pgr_2_1	0.319209724665
2	4.17877149582	1.70020437241	phu_2_1	0.406867057085
2	-9.50566673279	-3.06589531898	plu_2_1	0.322533428669
2	4.6730017662	0.981881916523	shei_2_1	0.210118040442
2	0.0	-0.629403352737	calibration_constant_2_1	0.0
3	-1.4425740242	-1.91674470901	act_3_2	0.73466950655
3	-1.51011502743	-0.935555756092	act_3_3	0.833468258381
3	-2.41329836845	-0.361036688089	amps_3_2	0.149603009224
3	4.21007442474	0.314192295074	c750_3_1	0.0746286809444
3	-5.15600395203	-0.941612303257	dag_3_2	0.182624429464
3	2.26634812355	0.171712860465	de_3_2	0.0757663175464
3	4.90162086487	1.14245700836	dpub_3_1	0.233077391982
3	2.8897459507	0.472737759352	dpub_3_2	0.163591459394
3	-2.90738677979	-1.51432716846	dtim_3_1	0.52085506916
3	-3.79517745972	-2.89544896077e-005	gai_3_2	7.62928493714e-006
3	5.48059654236	1.45718109608	gmps_3_1	0.265880018473
3	4.36088180542	0.000169445120264	hai_3_1	3.88557018596e-005
3	1.88054525852	7.3459064879e-005	hai_3_2	3.90626410081e-005
3	-12.9896907806	-7.79954385757	hd1_3_1	0.600441038609
3	-2.08291101456	-0.445359200239	pcf_3_2	0.213815763593
3	-4.34889268875	-0.780888020992	pfld_3_1	0.17956019938
3	-2.50162124634	-0.306375920773	pfld_3_2	0.12247095257
3	0.0167460162193	0.00350167928264	pgr_3_1	0.209105193615
3	7.34452629089	2.73876070976	phu_3_1	0.372898221016
3	3.58845424652	1.15157341957	phu_3_2	0.320910722017
3	-10.2566719055	-3.41831231117	plu_3_1	0.333276957273
3	-8.0857000351	-1.35328638554	pmf_3_2	0.167367860675
3	13.6181983948	3.86599802971	pmu_3_1	0.283884704113
3	15.7207174301	2.53391551971	pmu_3_2	0.161183193326
3	-4.79959440231	-1.15703415871	pslp_3_1	0.241069152951
3	-2.88154459	-1.91667711735	pwa_3_1	0.665156126022
3	2.00150799751	0.703891336918	shei_3_1	0.351680517197
3	2.81980895996	0.68727684021	shei_3_2	0.243731722236
3	2.30174589157	0.188851743937	ugl_3_2	0.0820471718907
3	0.0	-0.601867198944	calibration_constant_3_1	0.0
5	3.07410621643	4.1290622903e-005	aai_5_3	1.34317497213e-005
5	6.53290700912	5.03727722168	act_5_1	0.84122633934
5	5.03189706802	3.92761063576	act_5_2	0.765563368797
5	2.965498209	2.28532648087	act_5_3	0.592836916447
5	7.94368696213	4.39889478683	act_5_5	0.50115531683
5	2.96690917015	0.249622941017	c750_5_1	0.0841356888413
5	-3.50328755379	-1.32455205917	crit_5_1	0.37808829546
5	-5.42720460892	-0.977075099945	dag_5_2	0.180032849312
5	-3.77791929245	-2.77383422852	dcri_5_1	0.734222710133
5	1.06931984425	0.180413484573	dcri_5_2	0.168717980385
5	-3.38123750687	-0.947058975697	dloc_5_1	0.280092418194
5	-3.33363509178	-0.434997200966	dmu_5_2	0.130487337708
5	2.96963763237	1.12718868256	dnlr_5_1	0.37957111001
5	-2.42514133453	-0.22696775198	dres_5_2	0.0935894921422
5	-3.83464407921	-1.91619896889	dtim_5_2	0.499707102776
5	2.74498605728	1.5492156744	dtim_5_6	0.564380168915
5	5.66993904114	3.80463647842	dwat_5_1	0.671018958092
5	3.82478904724	2.01809239388	dwat_5_2	0.52763491869
5	2.48746442795	0.640473425388	dwet_5_3	0.257480412722
5	5.68652439117	9.51027686824e-005	gai_5_1	1.67242342286e-005
5	-5.89154100418	-6.88482250553e-005	gai_5_6	1.16859455375e-005
5	3.24081420898	0.851238846779	gmps_5_3	0.262662023306
5	3.01337456703	1.02623987198	h450_5_1	0.340561687946
5	-2.88840222359	-0.897209703922	h750_5_1	0.310624927282
5	7.05120992661	0.000198444307898	hai_5_1	2.81432985503e-005
5	3.97254180908	0.00010978255159	hai_5_2	2.76353421214e-005
5	-8.00657749176	-6.21356725693	hd1_5_1	0.776057839394
5	7.58385515213	2.33619093895	pcf_5_6	0.308047950268
5	-2.05902886391	-0.226489827037	pfld_5_2	0.109998367727
5	5.00113153458	1.15970814228	pgr_5_2	0.231889158487
5	2.87400579453	0.824455916882	pgr_5_3	0.28686645627
5	2.70143890381	0.899610877037	phu_5_1	0.333011746407
5	5.7136182785	1.63950002193	phu_5_2	0.286946028471
5	-17.5407581329	-4.55872917175	plu_5_1	0.259893506765
5	6.46908378601	1.67524576187	plu_5_3	0.258961826563
5	-4.11391687393	-0.962804079056	pmf_5_2	0.234035879374
5	21.783996582	4.65595436096	pmf_5_6	0.213732779026
5	17.7473602295	4.11230754852	pmu_5_1	0.23171377182
5	16.0750217438	3.89369106293	pmu_5_2	0.242219954729
5	8.37057590485	1.64771044254	pmu_5_3	0.196845531464
5	-2.97836899757	-0.363886326551	psg_5_1	0.122176378965
5	-3.70012593269	-1.2715280056	pslp_5_1	0.343644499779
