coefficient_name:S25	from_id:i4	to_id:i4	variable_name:S19
pfld_10_6	10	6	land_cover.pfld
psg_10_6	10	6	land_cover.psg
fmps_10_6	10	6	land_cover.fmps
pmf_10_2	10	2	land_cover.pmf
pmf_10_6	10	6	land_cover.pmf
pgr_10_2	10	2	land_cover.pgr
pgr_10_3	10	3	land_cover.pgr
pgr_10_6	10	6	land_cover.pgr
amps_10_2	10	2	land_cover.amps
gmps_10_2	10	2	land_cover.gmps
act_11_11	11	11	land_cover.constant
act_12_12	12	12	land_cover.constant
act_13_13	13	13	land_cover.constant
act_14_14	14	14	land_cover.constant
calibration_constant_2_1	2	1	constant
calibration_constant_3_1	3	1	constant
calibration_constant_5_7	5	7	constant
calibration_constant_6_8	6	8	constant
calibration_constant_7_8	7	8	constant
calibration_constant_10_6	10	6	constant
