coefficient_name:S12	estimate:f8	standard_error:f8	sub_model_id:f8	t_statistic:f8
act_2_2	6.88747882843	0.532958447933	2.0	12.9231061935
blmz_2_1	-0.0298654399812	0.11608941853	2.0	-0.257262378931
c750_2_1	0.183277100325	0.122194051743	2.0	1.49988555908
dfre_2_1	2.0624806881	0.280830860138	2.0	7.34420967102
dmu_2_1	-0.559314489365	0.18769595027	2.0	-2.97989630699
dprd_2_1	1.22896671295	0.304846405983	2.0	4.03142929077
dres_2_1	-0.544502794743	0.149489939213	2.0	-3.64240431786
dwat_2_1	5.82350063324	0.629547357559	2.0	9.25029754639
gai_2_1	1.14465876777e-006	1.36942189783e-005	2.0	0.0835870057344
hd1_2_1	-6.75576591492	1.17042219639	2.0	-5.77207612991
pcf_2_1	1.05344188213	0.305888175964	2.0	3.4438791275
phu_2_1	2.86394786835	0.212250739336	2.0	13.4932289124
ugl_2_1	0.92194634676	0.111390523612	2.0	8.27670383453
act_3_2	1.0	0.0	3.0	0.0
act_3_3	1.0	0.0	3.0	0.0
amps_3_1	1.0	0.0	3.0	0.0
amps_3_2	1.0	0.0	3.0	0.0
dloc_3_2	1.0	0.0	3.0	0.0
dmu_3_1	1.0	0.0	3.0	0.0
dnlr_3_1	1.0	0.0	3.0	0.0
dpub_3_1	1.0	0.0	3.0	0.0
dres_3_1	1.0	0.0	3.0	0.0
dres_3_2	1.0	0.0	3.0	0.0
mai_3_1	1.0	0.0	3.0	0.0
pes_3_1	1.0	0.0	3.0	0.0
pes_3_2	1.0	0.0	3.0	0.0
pgr_3_1	1.0	0.0	3.0	0.0
pgr_3_2	1.0	0.0	3.0	0.0
phu_3_1	1.0	0.0	3.0	0.0
phu_3_2	1.0	0.0	3.0	0.0
pmf_3_1	1.0	0.0	3.0	0.0
pmf_3_2	1.0	0.0	3.0	0.0
pslp_3_1	1.0	0.0	3.0	0.0
aai_5_1	1.0	0.0	5.0	0.0
aai_5_2	1.0	0.0	5.0	0.0
aai_5_3	1.0	0.0	5.0	0.0
act_5_1	1.0	0.0	5.0	0.0
act_5_2	1.0	0.0	5.0	0.0
act_5_3	1.0	0.0	5.0	0.0
act_5_5	1.0	0.0	5.0	0.0
act_5_6	1.0	0.0	5.0	0.0
amps_5_1	1.0	0.0	5.0	0.0
amps_5_2	1.0	0.0	5.0	0.0
blmz_5_1	1.0	0.0	5.0	0.0
blmz_5_2	1.0	0.0	5.0	0.0
c750_5_1	1.0	0.0	5.0	0.0
crit_5_2	1.0	0.0	5.0	0.0
dag_5_2	1.0	0.0	5.0	0.0
dag_5_3	1.0	0.0	5.0	0.0
dag_5_7	1.0	0.0	5.0	0.0
dcbd_5_7	1.0	0.0	5.0	0.0
dcri_5_2	1.0	0.0	5.0	0.0
dfre_5_7	1.0	0.0	5.0	0.0
dloc_5_1	1.0	0.0	5.0	0.0
dos_5_1	1.0	0.0	5.0	0.0
dres_5_1	1.0	0.0	5.0	0.0
dres_5_2	1.0	0.0	5.0	0.0
dwat_5_1	1.0	0.0	5.0	0.0
gai_5_3	1.0	0.0	5.0	0.0
gai_5_7	1.0	0.0	5.0	0.0
gmps_5_3	1.0	0.0	5.0	0.0
h750_5_2	1.0	0.0	5.0	0.0
pcf_5_7	1.0	0.0	5.0	0.0
pes_5_2	1.0	0.0	5.0	0.0
pgr_5_2	1.0	0.0	5.0	0.0
phu_5_2	1.0	0.0	5.0	0.0
phu_5_3	1.0	0.0	5.0	0.0
phu_5_6	1.0	0.0	5.0	0.0
pmf_5_1	1.0	0.0	5.0	0.0
pmf_5_2	1.0	0.0	5.0	0.0
pmf_5_6	1.0	0.0	5.0	0.0
pslp_5_1	1.0	0.0	5.0	0.0
pslp_5_2	1.0	0.0	5.0	0.0
pslp_5_3	1.0	0.0	5.0	0.0
pub_5_1	1.0	0.0	5.0	0.0
pwet_5_1	1.0	0.0	5.0	0.0
ugl_5_1	1.0	0.0	5.0	0.0
ugl_5_2	1.0	0.0	5.0	0.0
aai_6_1	0.0235607549548	1.17329245768e-005	6.0	2008.08886719
aai_6_2	7.81729686423e-005	1.44115574585e-005	6.0	5.42432498932
aai_6_3	8.93240066944e-005	1.29588197524e-005	6.0	6.89291238785
act_6_1	311.710418701	0.670032918453	6.0	465.216583252
act_6_2	6.85406017303	0.917725026608	6.0	7.46853351593
act_6_3	13.0001478195	0.940163493156	6.0	13.827539444
act_6_5	8.62295627594	0.529817581177	6.0	16.2753314972
act_6_6	5.94441413879	0.405572116375	6.0	14.6568613052
blmz_6_8	0.135641470551	0.110093072057	6.0	1.23206186295
crit_6_3	-0.325826078653	0.294983446598	6.0	-1.10455715656
dag_6_1	221.015563965	0.189030721784	6.0	1169.20446777
dcbd_6_1	233.992752075	0.553171396255	6.0	423.002258301
dcbd_6_2	-0.349947750568	0.714246809483	6.0	-0.489953547716
dcbd_6_3	-2.38144302368	0.722816586494	6.0	-3.29467129707
dcri_6_3	-0.692808806896	0.57623821497	6.0	-1.20229578018
de_6_8	0.785121202469	0.172695159912	6.0	4.54628372192
di_6_1	483.243255615	0.113687291741	6.0	4250.63574219
dloc_6_1	46.9655647278	0.209852710366	6.0	223.802520752
dloc_6_2	-2.23748517036	0.27001953125	6.0	-8.28638267517
dloc_6_3	-1.78063607216	0.265480548143	6.0	-6.707218647
dloc_6_8	1.09075582027	0.305665880442	6.0	3.56845784187
dnlr_6_2	0.718164265156	0.283567637205	6.0	2.53260302544
dnlr_6_3	0.745839238167	0.262130051851	6.0	2.84530234337
dos_6_1	91.6219940186	0.053980410099	6.0	1697.31933594
dprd_6_8	4.00746488571	0.292699664831	6.0	13.6913890839
dpub_6_1	-463.118103027	0.268306523561	6.0	-1726.07849121
dpub_6_2	1.52867007256	0.200702384114	6.0	7.61660146713
dpub_6_3	0.455959349871	0.395063966513	6.0	1.15414059162
dpub_6_8	3.10731577873	0.416177690029	6.0	7.46632003784
dtim_6_1	-209.24105835	0.11980034411	6.0	-1746.5814209
dtim_6_2	3.62975096703	0.330518752337	6.0	10.9819822311
dtim_6_5	0.328762084246	0.192337960005	6.0	1.70929384232
dwet_6_5	-0.402853667736	0.481024384499	6.0	-0.837491154671
gai_6_2	-6.94765622029e-005	1.36998451126e-005	6.0	-5.0713391304
gai_6_5	5.458038504e-005	8.92276239028e-006	6.0	6.11698293686
gmps_6_1	-348.099060059	0.528671860695	6.0	-658.440673828
gmps_6_2	0.00432157004252	0.320166558027	6.0	0.01349788066
gmps_6_3	0.190601587296	0.245335668325	6.0	0.776901245117
pag_6_1	-1005.71704102	2.89458298683	6.0	-347.447998047
pcf_6_2	-1.7140005827	0.204520761967	6.0	-8.38057041168
pcf_6_5	-0.640762805939	0.167612507939	6.0	-3.82288169861
pcf_6_8	2.55689287186	0.11717376858	6.0	21.8213768005
pcri_6_8	-0.18002140522	0.0548794679344	6.0	-3.28030514717
pes_6_3	-2.55036282539	0.231102958322	6.0	-11.03561306
pes_6_5	-2.23810982704	0.166739612818	6.0	-13.4227838516
pfld_6_2	0.345929086208	0.181484013796	6.0	1.90611326694
pgr_6_1	-477.076782227	0.211900413036	6.0	-2251.41967773
pgr_6_2	-2.88528990746	0.287825942039	6.0	-10.0244264603
pgr_6_3	-1.40600824356	0.227119833231	6.0	-6.19060087204
plu_6_1	52.5092391968	0.214567855	6.0	244.720901489
plu_6_2	-1.80059731007	0.290947556496	6.0	-6.18873500824
plu_6_3	0.775314629078	0.271443903446	6.0	2.85626101494
plu_6_8	-1.70949661732	0.274220585823	6.0	-6.23402023315
pmf_6_2	-2.62933588028	0.22583822906	6.0	-11.6425628662
pmu_6_1	-457.710113525	0.35143712163	6.0	-1302.39550781
pmu_6_2	5.64952898026	0.401518493891	6.0	14.0704078674
pmu_6_3	2.44976758957	0.393385082483	6.0	6.22740316391
pmu_6_8	0.166317909956	0.827901244164	6.0	0.200891003013
psg_6_2	-0.397950559855	0.125152587891	6.0	-3.17972302437
psg_6_3	-1.01154303551	0.142477482557	6.0	-7.09966945648
psg_6_8	0.127735942602	0.0591749846935	6.0	2.15861392021
pslp_6_1	-262.138336182	0.169034600258	6.0	-1550.796875
pslp_6_2	-0.353310108185	0.168776094913	6.0	-2.09336590767
pslp_6_3	-0.996378183365	0.171037837863	6.0	-5.82548379898
pstr_6_1	-338.944519043	0.188859537244	6.0	-1794.69104004
pstr_6_2	-0.831623017788	0.266892284155	6.0	-3.11595010757
pstr_6_8	-0.355968743563	0.19499130547	6.0	-1.82556211948
pub_6_1	-232.550689697	0.184544369578	6.0	-1260.13427734
pub_6_3	-0.0168949086219	0.299516022205	6.0	-0.0564073622227
pub_6_8	1.03008055687	0.313523411751	6.0	3.28549814224
pwet_6_1	69.7585601807	0.114103898406	6.0	611.359985352
pwet_6_2	-1.01852345467	0.238883152604	6.0	-4.26368904114
pwet_6_5	-0.66739577055	0.325265854597	6.0	-2.05184698105
shei_6_3	-1.04997372627	0.189019575715	6.0	-5.55484104156
sslp_6_1	83.401763916	0.171046853065	6.0	487.596008301
tiv_6_8	-0.44046574831	0.101517669857	6.0	-4.33880853653
ugl_6_1	179.988235474	0.0701495632529	6.0	2565.77832031
