coefficient_name:S25	estimate:f8	standard_error:f8	sub_model_id:i4	t_statistic:f8
act_2_2	7.52287054062	0.563374400139	2	12.424949646
blmz_2_1	-0.295626431704	0.109278172255	2	-2.70526504517
c750_2_1	0.352726876736	0.102820903063	2	3.43049764633
dfre_2_1	2.75792264938	0.312324911356	2	8.83030033112
dmu_2_1	-0.514827370644	0.180870309472	2	-2.84638953209
dprd_2_1	0.280684620142	0.361551135778	2	0.776334524155
dres_2_1	-0.541447937489	0.166342139244	2	-3.25502562523
dwat_2_1	6.2377409935	0.6615254879	2	9.42932796478
gai_2_1	3.1170235161e-005	1.21408202176e-005	2	2.56739115715
hd1_2_1	-4.12895202637	0.860919117928	2	-4.79598140717
pcf_2_1	2.01931977272	0.487305343151	2	4.14384889603
phu_2_1	3.71593523026	0.198746114969	2	18.6968955994
ugl_2_1	0.7973331213	0.146450564265	2	5.44438409805
calibration_constant_2_1	-2.02591109276	0.0	2	0.0
act_3_2	5.34901237488	0.498723566532	3	14.6243524551
act_3_3	7.19214916229	0.496612906456	3	12.3960580826
amps_3_1	2.71829009056	0.155094698071	3	17.5266475677
amps_3_2	1.01834464073	0.12256257236	3	8.30877304077
dloc_3_2	-0.716820836067	0.225067600608	3	-3.18491339684
dmu_3_1	-1.13422727585	0.169260323048	3	-6.70108175278
dnlr_3_1	2.5686109066	0.299255520105	3	8.58333683014
dpub_3_1	2.43818354607	0.211754530668	3	11.5141973495
dres_3_1	-1.06819617748	0.126551941037	3	-8.44077301025
dres_3_2	-0.28962469101	0.109843157232	3	-2.63671135902
mai_3_1	3.12597346306	0.284419745207	3	10.9907045364
pes_3_1	-4.28992271423	0.341798603535	3	-12.551024437
pes_3_2	-0.951644122601	0.271514385939	3	-3.50494909286
pgr_3_1	0.47817620635	0.263412445784	3	1.81531369686
pgr_3_2	-1.15353262424	0.220684766769	3	-5.22706031799
phu_3_1	5.66830396652	0.423849225044	3	13.3733968735
phu_3_2	1.87647998333	0.453074276447	3	4.14166069031
pmf_3_1	-1.59678602219	0.263189524412	3	-6.06705760956
pmf_3_2	-2.530834198	0.224174514413	3	-11.2895717621
pslp_3_1	-1.50508511066	0.332790970802	3	-4.52261400223
calibration_constant_3_1	-4.46272993088	0.0	3	0.0
aai_5_1	0.000131300810608	2.16112439375e-005	5	6.07557868958
aai_5_2	0.000188798614545	1.99471814994e-005	5	9.46492671967
aai_5_3	0.000219166802708	1.30247235575e-005	5	16.8269824982
act_5_1	12.0366802216	1.04232537746	5	14.6758565903
act_5_2	13.8392925262	1.01599252224	5	15.9599342346
act_5_3	15.936955452	0.946276783943	5	18.3808021545
act_5_5	17.3519668579	0.940086901188	5	17.199672699
act_5_6	14.7914094925	0.94139868021	5	15.8506727219
amps_5_1	0.705058634281	0.141116529703	5	4.99628686905
amps_5_2	0.803754091263	0.127078995109	5	6.32483816147
blmz_5_1	-0.403357863426	0.111143238842	5	-3.62917137146
blmz_5_2	-0.394894421101	0.10575658828	5	-3.73399353027
c750_5_1	0.370557337999	0.0892558693886	5	4.15162992477
crit_5_2	1.0255689621	0.331224024296	5	3.09630012512
dag_5_2	-0.607725203037	0.190136820078	5	-3.19625210762
dag_5_3	-0.754996836185	0.182393863797	5	-4.13937616348
dag_5_7	5.01501607895	0.543370306492	5	9.2294626236
dcbd_5_7	12.3659439087	1.27067446709	5	9.73179531097
dcri_5_2	2.33779931068	0.616824030876	5	3.79005885124
dfre_5_7	-2.34478354454	0.618672251701	5	-3.79002547264
dloc_5_1	-0.891252279282	0.274237036705	5	-3.24993395805
dos_5_1	0.488434404135	0.110840857029	5	4.40662765503
dres_5_1	-0.449352771044	0.137645155191	5	-3.26457381248
dres_5_2	-0.284554898739	0.117212347686	5	-2.42768716812
dwat_5_1	1.90706217289	0.606810986996	5	3.14276146889
gai_5_3	2.69683969236e-005	2.12343002204e-005	5	1.27003931999
gai_5_7	-6.01212123001e-005	2.15241125261e-005	5	-2.79320287704
gmps_5_3	0.516793429852	0.165455654263	5	3.12345576286
h750_5_2	0.452556580305	0.187480345368	5	2.41388821602
pcf_5_7	3.27743601799	0.183181524277	5	17.8917388916
pes_5_2	8.62106609344	3.40694093704	5	2.53044199944
pgr_5_2	-8.6032333374	3.42481327057	5	-2.51202988625
phu_5_2	-1.05279219151	0.242103591561	5	-4.34851932526
phu_5_3	-2.65034914017	0.420497000217	5	-6.30289649963
phu_5_6	-4.93476915359	0.967219054699	5	-5.10201835632
pmf_5_1	-3.25899910927	0.226788297296	5	-14.3702259064
pmf_5_2	-2.93689036369	0.238902300596	5	-12.2932691574
pmf_5_6	2.68484640121	0.146643996239	5	18.3086013794
pslp_5_1	-1.83738601208	0.30668669939	5	-5.99108457565
pslp_5_2	-0.907876908779	0.218066424131	5	-4.16330432892
pslp_5_3	-1.10783040524	0.170378029346	5	-6.5021905899
pub_5_1	-0.638000845909	0.12882745266	5	-4.95236730576
pwet_5_1	-0.681964814663	0.21646477282	5	-3.15046548843
ugl_5_1	1.47940957546	0.115648545325	5	12.7922887802
ugl_5_2	0.338261127472	0.10181748867	5	3.32223010063
calibration_constant_5_7	-0.540231108665	0.0	5	0.0
aai_6_1	0.000197779329028	1.93364503502e-005	6	10.2283163071
