coefficient_name:S25	from_id:i4	to_id:i4	variable_name:S19
hai_2_1	2	1	land_cover.hai
act_2_2	2	2	land_cover.constant
hd1_2_1	2	1	land_cover.hd1
blmz_2_1	2	1	land_cover.blmz
dtim_2_1	2	1	land_cover.dtim
pwa_2_1	2	1	land_cover.pwa
dcbd_2_1	2	1	land_cover.dcbd
shei_2_1	2	1	land_cover.shei
dprd_2_1	2	1	land_cover.dprd
pgr_2_1	2	1	land_cover.pgr
cd1_2_1	2	1	land_cover.cd1
c750_2_1	2	1	land_cover.c750
hmps_2_1	2	1	land_cover.hmps
h750_2_1	2	1	land_cover.h750
phu_2_1	2	1	land_cover.phu
pmu_3_2	3	2	land_cover.pmu
act_3_2	3	2	land_cover.constant
act_3_3	3	3	land_cover.constant
ugl_3_1	3	1	land_cover.ugl
ugl_3_2	3	2	land_cover.ugl
dnlr_3_1	3	1	land_cover.dnlr
dtim_3_1	3	1	land_cover.dtim
pmf_3_1	3	1	land_cover.pmf
pmf_3_2	3	2	land_cover.pmf
pgr_3_1	3	1	land_cover.pgr
pstr_3_1	3	1	land_cover.pstr
pstr_3_2	3	2	land_cover.pstr
hd1_3_1	3	1	land_cover.hd1
blmz_3_1	3	1	land_cover.blmz
dloc_3_2	3	2	land_cover.dloc
pag_3_1	3	1	land_cover.pag
pcc_3_2	3	2	land_cover.pcc
h750_3_1	3	1	land_cover.h750
dres_3_1	3	1	land_cover.dres
dprd_3_1	3	1	land_cover.dprd
gai_3_2	3	2	land_cover.gai
c750_3_1	3	1	land_cover.c750
hmps_3_1	3	1	land_cover.hmps
phu_3_1	3	1	land_cover.phu
phu_3_2	3	2	land_cover.phu
dwet_3_1	3	1	land_cover.dwet
dmu_3_1	3	1	land_cover.dmu
amps_3_1	3	1	land_cover.amps
pslp_3_1	3	1	land_cover.pslp
pslp_3_2	3	2	land_cover.pslp
tiv_3_1	3	1	land_cover.tiv
pwet_5_7	5	7	land_cover.pwet
pmu_5_2	5	2	land_cover.pmu
act_5_2	5	2	land_cover.constant
act_5_3	5	3	land_cover.constant
act_5_5	5	5	land_cover.constant
act_5_6	5	6	land_cover.constant
dpub_5_2	5	2	land_cover.dpub
dpub_5_7	5	7	land_cover.dpub
ugl_5_2	5	2	land_cover.ugl
dnlr_5_2	5	2	land_cover.dnlr
dnlr_5_3	5	3	land_cover.dnlr
pfld_5_7	5	7	land_cover.pfld
shei_5_2	5	2	land_cover.shei
pmf_5_2	5	2	land_cover.pmf
pmf_5_6	5	6	land_cover.pmf
pmf_5_7	5	7	land_cover.pmf
pgr_5_6	5	6	land_cover.pgr
crit_5_2	5	2	land_cover.crit
crit_5_6	5	6	land_cover.crit
pstr_5_2	5	2	land_cover.pstr
blmz_5_3	5	3	land_cover.blmz
dloc_5_2	5	2	land_cover.dloc
dloc_5_3	5	3	land_cover.dloc
pcri_5_3	5	3	land_cover.pcri
pcri_5_6	5	6	land_cover.pcri
pes_5_6	5	6	land_cover.pes
dcri_5_2	5	2	land_cover.dcri
dcri_5_6	5	6	land_cover.dcri
pcc_5_2	5	2	land_cover.pcc
pcc_5_7	5	7	land_cover.pcc
pcf_5_2	5	2	land_cover.pcf
pcf_5_7	5	7	land_cover.pcf
dtim_5_2	5	2	land_cover.dtim
dtim_5_3	5	3	land_cover.dtim
dtim_5_7	5	7	land_cover.dtim
plu_5_3	5	3	land_cover.plu
plu_5_6	5	6	land_cover.plu
plu_5_7	5	7	land_cover.plu
dag_5_6	5	6	land_cover.dag
psg_5_7	5	7	land_cover.psg
dprd_5_2	5	2	land_cover.dprd
pwa_5_6	5	6	land_cover.pwa
mai_5_3	5	3	land_cover.mai
gmps_5_7	5	7	land_cover.gmps
h750_5_6	5	6	land_cover.h750
aai_5_2	5	2	land_cover.aai
aai_5_6	5	6	land_cover.aai
aai_5_7	5	7	land_cover.aai
amps_5_2	5	2	land_cover.amps
tiv_5_7	5	7	land_cover.tiv
pmu_6_2	6	2	land_cover.pmu
pmu_6_8	6	8	land_cover.pmu
act_6_2	6	2	land_cover.constant
act_6_3	6	3	land_cover.constant
act_6_5	6	5	land_cover.constant
act_6_6	6	6	land_cover.constant
ugl_6_2	6	2	land_cover.ugl
ugl_6_8	6	8	land_cover.ugl
dnlr_6_2	6	2	land_cover.dnlr
dnlr_6_3	6	3	land_cover.dnlr
dtim_6_2	6	2	land_cover.dtim
dtim_6_3	6	3	land_cover.dtim
c450_6_2	6	2	land_cover.c450
c450_6_3	6	3	land_cover.c450
c450_6_5	6	5	land_cover.c450
pgr_6_2	6	2	land_cover.pgr
pgr_6_5	6	5	land_cover.pgr
crit_6_2	6	2	land_cover.crit
c750_6_2	6	2	land_cover.c750
c750_6_3	6	3	land_cover.c750
c750_6_5	6	5	land_cover.c750
pstr_6_2	6	2	land_cover.pstr
pstr_6_3	6	3	land_cover.pstr
pstr_6_8	6	8	land_cover.pstr
hd1_6_8	6	8	land_cover.hd1
blmz_6_8	6	8	land_cover.blmz
dloc_6_2	6	2	land_cover.dloc
dloc_6_3	6	3	land_cover.dloc
dloc_6_8	6	8	land_cover.dloc
dcri_6_2	6	2	land_cover.dcri
pcc_6_2	6	2	land_cover.pcc
pcc_6_3	6	3	land_cover.pcc
pcc_6_8	6	8	land_cover.pcc
pcf_6_2	6	2	land_cover.pcf
pcf_6_3	6	3	land_cover.pcf
pcf_6_8	6	8	land_cover.pcf
plu_6_2	6	2	land_cover.plu
plu_6_3	6	3	land_cover.plu
plu_6_5	6	5	land_cover.plu
dres_6_2	6	2	land_cover.dres
psg_6_2	6	2	land_cover.psg
psg_6_3	6	3	land_cover.psg
pub_6_8	6	8	land_cover.pub
gai_6_5	6	5	land_cover.gai
amps_6_2	6	2	land_cover.amps
