sub_model_id	t_statistic	estimate	coefficient_name	standard_error
2	-3.46181297302	-2.46027970314	act_2_2	0.710691094398
2	-2.11882448196	-0.279741942883	blmz_2_1	0.132026955485
2	3.83370995522	0.433032870293	c750_2_1	0.112953990698
2	2.92508912086	0.543353497982	cd1_2_1	0.185756221414
2	-3.25906014442	-1.09473228455	dcbd_2_1	0.335904300213
2	-2.73544573784	-1.04966020584	dprd_2_1	0.383725464344
2	-4.06036043167	-2.3663725853	dtim_2_1	0.582798659801
2	-4.5343003273	-1.10687303543	h750_2_1	0.2441111058
2	3.31332921982	6.27331901342e-005	hai_2_1	1.89335823961e-005
2	-3.84056067467	-3.17823457718	hd1_2_1	0.82754445076
2	-2.99416542053	-1.06864142418	hmps_2_1	0.356907963753
2	1.93070197105	0.643405258656	pgr_2_1	0.333249419928
2	9.05383586884	4.05128908157	phu_2_1	0.44746658206
2	-3.37623691559	-3.27225828171	pwa_2_1	0.969202756882
2	2.85533452034	0.664672851563	shei_2_1	0.232782840729
3	-1.59871709347	-0.781631588936	act_3_2	0.48891171813
3	-1.1675504446	-0.546456813812	act_3_3	0.468037039042
3	5.93668270111	0.949230849743	amps_3_1	0.159892469645
3	-5.57590389252	-0.650605678558	blmz_3_1	0.116681650281
3	6.58575725555	0.656547605991	c750_3_1	0.0996920466423
3	-2.98300719261	-0.678501069546	dloc_3_2	0.227455377579
3	-3.54690551758	-0.611873567104	dmu_3_1	0.172509133816
3	3.17315101624	0.991140186787	dnlr_3_1	0.312352031469
3	-2.70592689514	-0.964657902718	dprd_3_1	0.356498152018
3	-7.13461446762	-1.01665914059	dres_3_1	0.142496719956
3	-3.01765036583	-1.38287520409	dtim_3_1	0.458262234926
3	3.08229017258	1.23906242847	dwet_3_1	0.401994079351
3	-4.39299535751	-4.36932896264e-005	gai_3_2	9.94612764771e-006
3	-2.15749597549	-0.420440286398	h750_3_1	0.194874182343
3	-3.96375727654	-4.13436031342	hd1_3_1	1.04304075241
3	-3.88907432556	-1.80389344692	hmps_3_1	0.463836193085
3	-4.89984750748	-1.29102575779	pag_3_1	0.263482868671
3	-2.45086741447	-8.6164894104	pcc_3_2	3.51568984985
3	-3.29425907135	-0.704112291336	pgr_3_1	0.213739201427
3	11.0703992844	6.67922878265	phu_3_1	0.603341281414
3	4.51828670502	2.40595293045	phu_3_2	0.532492280006
3	-9.06250572205	-2.30361700058	pmf_3_1	0.254192054272
3	-6.77872467041	-1.56521248817	pmf_3_2	0.230900734663
3	8.95202827454	1.5675920248	pmu_3_2	0.175110265613
3	-2.55833292007	-1.00836253166	pslp_3_1	0.394148260355
3	-2.9276740551	-1.04676282406	pslp_3_2	0.357540756464
3	-3.14613223076	-1.20638775826	pstr_3_1	0.383451074362
3	-2.92924594879	-0.925874948502	pstr_3_2	0.316079616547
3	3.1929090023	0.317443728447	tiv_3_1	0.0994214788079
3	5.34921312332	0.755551755428	ugl_3_1	0.141245409846
3	3.63107967377	0.385436505079	ugl_3_2	0.106149278581
5	3.52619671822	5.56744889764e-005	aai_5_2	1.57888225658e-005
5	-3.94550776482	-7.28892991901e-005	aai_5_6	1.84739983524e-005
5	-4.50297212601	-0.000137825350976	aai_5_7	3.06076435663e-005
5	2.12610983849	1.60081088543	act_5_2	0.752929508686
5	5.43371629715	2.791492939	act_5_3	0.513735473156
5	6.26120853424	2.39911103249	act_5_5	0.383170574903
5	5.23808908463	3.79331040382	act_5_6	0.724178254604
5	4.06434059143	0.601398468018	amps_5_2	0.14796949923
5	4.59452676773	0.400979548693	blmz_5_3	0.0872733071446
5	2.98192834854	1.07981526852	crit_5_2	0.36211976409
5	-1.99625325203	-0.876127541065	crit_5_6	0.438885957003
5	4.1982626915	1.09225296974	dag_5_6	0.260167866945
5	4.11967945099	2.8564517498	dcri_5_2	0.693367481232
5	-4.34446811676	-4.60160493851	dcri_5_6	1.05918717384
5	-8.57749080658	-2.76807975769	dloc_5_2	0.322714388371
5	-7.38449811935	-2.13162732124	dloc_5_3	0.288662433624
5	-2.68658161163	-1.10273599625	dnlr_5_2	0.410460650921
5	-7.26900815964	-2.24737930298	dnlr_5_3	0.309172749519
5	-2.46813488007	-0.846390366554	dprd_5_2	0.342927098274
5	3.60402131081	0.750329613686	dpub_5_2	0.208192333579
5	2.56027078629	0.416757941246	dpub_5_7	0.16277885437
5	3.04965925217	1.40783166885	dtim_5_2	0.461635768414
5	5.42409658432	1.84543192387	dtim_5_3	0.34022846818
5	6.03244543076	0.872872650623	dtim_5_7	0.144696325064
5	-5.46860551834	-1.39953994751	gmps_5_7	0.25592264533
5	2.52940320969	0.640826523304	h750_5_6	0.253350883722
5	4.08701229095	5.83741202718e-005	mai_5_3	1.42828348544e-005
5	-2.95349979401	-3.22366166115	pcc_5_2	1.09147179127
5	-5.15097951889	-2.34838581085	pcc_5_7	0.455910563469
5	-4.09812164307	-1.49623727798	pcf_5_2	0.365103185177
5	11.8759508133	2.10031819344	pcf_5_7	0.176854744554
5	-2.78707766533	-0.202467098832	pcri_5_3	0.0726449415088
5	-3.9762172699	-0.828829288483	pcri_5_6	0.208446681499
5	2.7961628437	13.6807479858	pes_5_6	4.89268636703
5	-2.38063430786	-0.983287274837	pfld_5_7	0.413035839796
5	-3.11631274223	-15.2259216309	pgr_5_6	4.88587713242
5	7.48664093018	1.95666110516	plu_5_3	0.261353671551
5	-4.01816987991	-1.39926338196	plu_5_6	0.348233997822
5	-4.67458295822	-2.46967577934	plu_5_7	0.528320074081
5	-7.55526256561	-1.7086417675	pmf_5_2	0.226152524352
