coefficient_name:S25	from_id:i4	to_id:i4	variable_name:S19
dwat_2_1	2	1	land_cover.dwat
act_2_2	2	2	land_cover.constant
dfre_2_1	2	1	land_cover.dfre
hd1_2_1	2	1	land_cover.hd1
blmz_2_1	2	1	land_cover.blmz
dres_2_1	2	1	land_cover.dres
ugl_2_1	2	1	land_cover.ugl
dprd_2_1	2	1	land_cover.dprd
dmu_2_1	2	1	land_cover.dmu
gai_2_1	2	1	land_cover.gai
c750_2_1	2	1	land_cover.c750
pcf_2_1	2	1	land_cover.pcf
phu_2_1	2	1	land_cover.phu
act_3_2	3	2	land_cover.constant
act_3_3	3	3	land_cover.constant
dpub_3_1	3	1	land_cover.dpub
dnlr_3_1	3	1	land_cover.dnlr
dloc_3_2	3	2	land_cover.dloc
pes_3_1	3	1	land_cover.pes
pes_3_2	3	2	land_cover.pes
pmf_3_1	3	1	land_cover.pmf
pmf_3_2	3	2	land_cover.pmf
pgr_3_1	3	1	land_cover.pgr
pgr_3_2	3	2	land_cover.pgr
dmu_3_1	3	1	land_cover.dmu
amps_3_1	3	1	land_cover.amps
amps_3_2	3	2	land_cover.amps
mai_3_1	3	1	land_cover.mai
pslp_3_1	3	1	land_cover.pslp
dres_3_1	3	1	land_cover.dres
dres_3_2	3	2	land_cover.dres
phu_3_1	3	1	land_cover.phu
phu_3_2	3	2	land_cover.phu
pwet_5_1	5	1	land_cover.pwet
act_5_1	5	1	land_cover.constant
act_5_2	5	2	land_cover.constant
act_5_3	5	3	land_cover.constant
act_5_5	5	5	land_cover.constant
act_5_6	5	6	land_cover.constant
ugl_5_1	5	1	land_cover.ugl
ugl_5_2	5	2	land_cover.ugl
pmf_5_1	5	1	land_cover.pmf
pmf_5_2	5	2	land_cover.pmf
pmf_5_6	5	6	land_cover.pmf
pgr_5_2	5	2	land_cover.pgr
crit_5_2	5	2	land_cover.crit
c750_5_1	5	1	land_cover.c750
blmz_5_1	5	1	land_cover.blmz
blmz_5_2	5	2	land_cover.blmz
dloc_5_1	5	1	land_cover.dloc
pes_5_2	5	2	land_cover.pes
dcri_5_2	5	2	land_cover.dcri
pcf_5_7	5	7	land_cover.pcf
dag_5_2	5	2	land_cover.dag
dag_5_3	5	3	land_cover.dag
dag_5_7	5	7	land_cover.dag
dres_5_1	5	1	land_cover.dres
dres_5_2	5	2	land_cover.dres
dcbd_5_7	5	7	land_cover.dcbd
pub_5_1	5	1	land_cover.pub
gai_5_3	5	3	land_cover.gai
gai_5_7	5	7	land_cover.gai
dos_5_1	5	1	land_cover.dos
phu_5_2	5	2	land_cover.phu
phu_5_3	5	3	land_cover.phu
phu_5_6	5	6	land_cover.phu
gmps_5_3	5	3	land_cover.gmps
dwat_5_1	5	1	land_cover.dwat
dfre_5_7	5	7	land_cover.dfre
h750_5_2	5	2	land_cover.h750
aai_5_1	5	1	land_cover.aai
aai_5_2	5	2	land_cover.aai
aai_5_3	5	3	land_cover.aai
amps_5_1	5	1	land_cover.amps
amps_5_2	5	2	land_cover.amps
pslp_5_1	5	1	land_cover.pslp
pslp_5_2	5	2	land_cover.pslp
pslp_5_3	5	3	land_cover.pslp
pwet_6_1	6	1	land_cover.pwet
pwet_6_2	6	2	land_cover.pwet
pwet_6_5	6	5	land_cover.pwet
pmu_6_1	6	1	land_cover.pmu
pmu_6_2	6	2	land_cover.pmu
pmu_6_3	6	3	land_cover.pmu
pmu_6_8	6	8	land_cover.pmu
sslp_6_1	6	1	land_cover.sslp
act_6_1	6	1	land_cover.constant
act_6_2	6	2	land_cover.constant
act_6_3	6	3	land_cover.constant
act_6_5	6	5	land_cover.constant
act_6_6	6	6	land_cover.constant
dpub_6_1	6	1	land_cover.dpub
dpub_6_2	6	2	land_cover.dpub
dpub_6_3	6	3	land_cover.dpub
dpub_6_8	6	8	land_cover.dpub
ugl_6_1	6	1	land_cover.ugl
ugl_6_2	6	2	land_cover.ugl
ugl_6_8	6	8	land_cover.ugl
dnlr_6_2	6	2	land_cover.dnlr
dnlr_6_3	6	3	land_cover.dnlr
aai_6_1	6	1	land_cover.aai
aai_6_2	6	2	land_cover.aai
aai_6_3	6	3	land_cover.aai
dtim_6_1	6	1	land_cover.dtim
dtim_6_2	6	2	land_cover.dtim
dtim_6_5	6	5	land_cover.dtim
shei_6_3	6	3	land_cover.shei
pmf_6_2	6	2	land_cover.pmf
pgr_6_1	6	1	land_cover.pgr
pgr_6_2	6	2	land_cover.pgr
pgr_6_3	6	3	land_cover.pgr
crit_6_3	6	3	land_cover.crit
pstr_6_1	6	1	land_cover.pstr
pstr_6_2	6	2	land_cover.pstr
pstr_6_8	6	8	land_cover.pstr
blmz_6_8	6	8	land_cover.blmz
dloc_6_1	6	1	land_cover.dloc
dloc_6_2	6	2	land_cover.dloc
dloc_6_3	6	3	land_cover.dloc
dloc_6_8	6	8	land_cover.dloc
pcri_6_8	6	8	land_cover.pcri
pes_6_3	6	3	land_cover.pes
pes_6_5	6	5	land_cover.pes
