coefficient_name:S25	from_id:i4	to_id:i4	variable_name:S19
hai_2_1	2	1	land_cover.hai
dag_2_1	2	1	land_cover.dag
act_2_2	2	2	land_cover.constant
blmz_2_1	2	1	land_cover.blmz
pmu_2_1	2	1	land_cover.pmu
tiv_2_1	2	1	land_cover.tiv
dprd_2_1	2	1	land_cover.dprd
cd1_2_1	2	1	land_cover.cd1
phu_2_1	2	1	land_cover.phu
pmu_3_1	3	1	land_cover.pmu
pmu_3_2	3	2	land_cover.pmu
act_3_3	3	3	land_cover.constant
dpub_3_2	3	2	land_cover.dpub
ugl_3_1	3	1	land_cover.ugl
dnlr_3_2	3	2	land_cover.dnlr
pfld_3_1	3	1	land_cover.pfld
shei_3_1	3	1	land_cover.shei
pmf_3_1	3	1	land_cover.pmf
pmf_3_2	3	2	land_cover.pmf
mmps_3_1	3	1	land_cover.mmps
blmz_3_1	3	1	land_cover.blmz
dloc_3_1	3	1	land_cover.dloc
dloc_3_2	3	2	land_cover.dloc
dtim_3_1	3	1	land_cover.dtim
dtim_3_2	3	2	land_cover.dtim
h450_3_2	3	2	land_cover.h450
dres_3_1	3	1	land_cover.dres
dres_3_2	3	2	land_cover.dres
dprd_3_1	3	1	land_cover.dprd
pwa_3_1	3	1	land_cover.pwa
phu_3_1	3	1	land_cover.phu
phu_3_2	3	2	land_cover.phu
gmps_3_1	3	1	land_cover.gmps
c750_3_1	3	1	land_cover.c750
c750_3_2	3	2	land_cover.c750
pslp_3_1	3	1	land_cover.pslp
pslp_3_2	3	2	land_cover.pslp
tiv_3_1	3	1	land_cover.tiv
pwet_5_7	5	7	land_cover.pwet
pmu_5_1	5	1	land_cover.pmu
pmu_5_2	5	2	land_cover.pmu
pmu_5_6	5	6	land_cover.pmu
pmu_5_7	5	7	land_cover.pmu
sslp_5_1	5	1	land_cover.sslp
sslp_5_2	5	2	land_cover.sslp
sslp_5_3	5	3	land_cover.sslp
sslp_5_6	5	6	land_cover.sslp
act_5_1	5	1	land_cover.constant
act_5_2	5	2	land_cover.constant
act_5_3	5	3	land_cover.constant
act_5_5	5	5	land_cover.constant
dpub_5_1	5	1	land_cover.dpub
dpub_5_2	5	2	land_cover.dpub
ugl_5_1	5	1	land_cover.ugl
dnlr_5_2	5	2	land_cover.dnlr
