coefficient_name:S25	from_id:i4	to_id:i4	variable_name:S19
hai_2_1	2	1	land_cover.hai
plu_2_1	2	1	land_cover.plu
act_2_2	2	2	land_cover.constant
hd1_2_1	2	1	land_cover.hd1
di_2_1	2	1	land_cover.di
dloc_2_1	2	1	land_cover.dloc
shei_2_1	2	1	land_cover.shei
pfld_2_1	2	1	land_cover.pfld
pgr_2_1	2	1	land_cover.pgr
dos_2_1	2	1	land_cover.dos
hmps_2_1	2	1	land_cover.hmps
c750_2_1	2	1	land_cover.c750
dtim_2_1	2	1	land_cover.dtim
phu_2_1	2	1	land_cover.phu
pmu_3_1	3	1	land_cover.pmu
pmu_3_2	3	2	land_cover.pmu
act_3_2	3	2	land_cover.constant
act_3_3	3	3	land_cover.constant
dpub_3_1	3	1	land_cover.dpub
dpub_3_2	3	2	land_cover.dpub
ugl_3_2	3	2	land_cover.ugl
dtim_3_1	3	1	land_cover.dtim
shei_3_1	3	1	land_cover.shei
shei_3_2	3	2	land_cover.shei
pmf_3_2	3	2	land_cover.pmf
pgr_3_1	3	1	land_cover.pgr
c750_3_1	3	1	land_cover.c750
hai_3_1	3	1	land_cover.hai
hai_3_2	3	2	land_cover.hai
hd1_3_1	3	1	land_cover.hd1
pcf_3_2	3	2	land_cover.pcf
pfld_3_1	3	1	land_cover.pfld
pfld_3_2	3	2	land_cover.pfld
plu_3_1	3	1	land_cover.plu
dag_3_2	3	2	land_cover.dag
de_3_2	3	2	land_cover.de
gai_3_2	3	2	land_cover.gai
pwa_3_1	3	1	land_cover.pwa
phu_3_1	3	1	land_cover.phu
phu_3_2	3	2	land_cover.phu
gmps_3_1	3	1	land_cover.gmps
amps_3_2	3	2	land_cover.amps
pslp_3_1	3	1	land_cover.pslp
pmu_5_1	5	1	land_cover.pmu
pmu_5_2	5	2	land_cover.pmu
pmu_5_3	5	3	land_cover.pmu
act_5_1	5	1	land_cover.constant
act_5_2	5	2	land_cover.constant
act_5_3	5	3	land_cover.constant
act_5_5	5	5	land_cover.constant
ugl_5_3	5	3	land_cover.ugl
dnlr_5_1	5	1	land_cover.dnlr
aai_5_3	5	3	land_cover.aai
dtim_5_2	5	2	land_cover.dtim
dtim_5_6	5	6	land_cover.dtim
shei_5_1	5	1	land_cover.shei
pmf_5_2	5	2	land_cover.pmf
pmf_5_6	5	6	land_cover.pmf
pgr_5_2	5	2	land_cover.pgr
pgr_5_3	5	3	land_cover.pgr
crit_5_1	5	1	land_cover.crit
hai_5_1	5	1	land_cover.hai
hai_5_2	5	2	land_cover.hai
hd1_5_1	5	1	land_cover.hd1
dloc_5_1	5	1	land_cover.dloc
dcri_5_1	5	1	land_cover.dcri
dcri_5_2	5	2	land_cover.dcri
pcf_5_6	5	6	land_cover.pcf
pfld_5_2	5	2	land_cover.pfld
plu_5_1	5	1	land_cover.plu
plu_5_3	5	3	land_cover.plu
dag_5_2	5	2	land_cover.dag
pstr_5_1	5	1	land_cover.pstr
pstr_5_2	5	2	land_cover.pstr
h450_5_1	5	1	land_cover.h450
dres_5_2	5	2	land_cover.dres
psg_5_1	5	1	land_cover.psg
pub_5_1	5	1	land_cover.pub
gai_5_1	5	1	land_cover.gai
gai_5_6	5	6	land_cover.gai
phu_5_1	5	1	land_cover.phu
phu_5_2	5	2	land_cover.phu
gmps_5_3	5	3	land_cover.gmps
dwat_5_1	5	1	land_cover.dwat
dwat_5_2	5	2	land_cover.dwat
h750_5_1	5	1	land_cover.h750
dwet_5_3	5	3	land_cover.dwet
dmu_5_2	5	2	land_cover.dmu
c750_5_1	5	1	land_cover.c750
pslp_5_1	5	1	land_cover.pslp
pwet_6_1	6	1	land_cover.pwet
pwet_6_2	6	2	land_cover.pwet
pmu_6_1	6	1	land_cover.pmu
pmu_6_2	6	2	land_cover.pmu
