year:i4	action:S20	attribute:S40	amount:i4	building_id:i4	zone_id:i4	building_type_id:i4
2033	add_value	residential_units	0	3500	-1	-1
2026	add_value	residential_units	0	3501	-1	-1
2027	add_value	residential_units	0	3502	-1	-1
2033	add_value	residential_units	0	3505	-1	-1
2020	add_value	residential_units	0	3507	-1	-1
2027	add_value	residential_units	0	3508	-1	-1
2027	add_value	residential_units	0	3583	-1	-1
2020	add_value	residential_units	0	3584	-1	-1
2031	add_value	residential_units	0	3585	-1	-1
2029	add_value	residential_units	0	3586	-1	-1
2024	add_value	residential_units	0	4081	-1	-1
2025	add_value	residential_units	0	4082	-1	-1
2026	add_value	residential_units	0	4083	-1	-1
2025	add_value	residential_units	0	4084	-1	-1
2032	add_value	residential_units	0	4357	-1	-1
2021	add_value	residential_units	0	4358	-1	-1
2023	add_value	residential_units	0	4359	-1	-1
2032	add_value	residential_units	0	4360	-1	-1
2033	add_value	residential_units	0	4663	-1	-1
2024	add_value	residential_units	0	4664	-1	-1
2032	add_value	residential_units	0	4665	-1	-1
2032	add_value	residential_units	0	4666	-1	-1
2022	add_value	residential_units	0	4681	-1	-1
2033	add_value	residential_units	0	4682	-1	-1
2029	add_value	residential_units	0	4683	-1	-1
2027	add_value	residential_units	0	4684	-1	-1
2030	add_value	residential_units	0	6841	-1	-1
2022	add_value	residential_units	0	6843	-1	-1
2020	add_value	residential_units	0	6844	-1	-1
2022	add_value	residential_units	0	6907	-1	-1
2029	add_value	residential_units	0	6908	-1	-1
2020	add_value	residential_units	0	6909	-1	-1
2029	add_value	residential_units	0	6910	-1	-1
2026	add_value	residential_units	0	7009	-1	-1
2024	add_value	residential_units	0	7010	-1	-1
2029	add_value	residential_units	0	7011	-1	-1
2026	add_value	residential_units	0	7012	-1	-1
2027	add_value	residential_units	0	7069	-1	-1
2031	add_value	residential_units	0	7070	-1	-1
2021	add_value	residential_units	0	7071	-1	-1
2021	add_value	residential_units	0	7072	-1	-1
2029	add_value	residential_units	0	7249	-1	-1
2021	add_value	residential_units	0	7250	-1	-1
2034	add_value	residential_units	0	7251	-1	-1
2029	add_value	residential_units	0	7252	-1	-1
2030	add_value	residential_units	0	7339	-1	-1
2027	add_value	residential_units	0	7341	-1	-1
2023	add_value	residential_units	0	7342	-1	-1
2029	add_value	residential_units	0	7441	-1	-1
2029	add_value	residential_units	0	7443	-1	-1
2024	add_value	residential_units	0	7444	-1	-1
2024	add_value	residential_units	0	7471	-1	-1
2022	add_value	residential_units	0	7472	-1	-1
2023	add_value	residential_units	0	7473	-1	-1
2024	add_value	residential_units	0	7474	-1	-1
2030	add_value	residential_units	0	7525	-1	-1
2032	add_value	residential_units	0	7526	-1	-1
2030	add_value	residential_units	0	7527	-1	-1
2032	add_value	residential_units	0	7528	-1	-1
2034	add_value	residential_units	0	7543	-1	-1
2025	add_value	residential_units	0	7545	-1	-1
2022	add_value	residential_units	0	7615	-1	-1
2023	add_value	residential_units	0	7616	-1	-1
2024	add_value	residential_units	0	7617	-1	-1
2029	add_value	residential_units	0	7618	-1	-1
2030	add_value	residential_units	0	7723	-1	-1
2022	add_value	residential_units	0	7724	-1	-1
2027	add_value	residential_units	0	7725	-1	-1
2024	add_value	residential_units	0	7726	-1	-1
2032	add_value	residential_units	29	595	-1	-1
2022	add_value	residential_units	182	596	-1	-1
2026	add_value	residential_units	10	597	-1	-1
2028	add_value	residential_units	252	598	-1	-1
2028	add_value	residential_units	100	733	-1	-1
2033	add_value	residential_units	157	734	-1	-1
2025	add_value	residential_units	42	735	-1	-1
2026	add_value	residential_units	192	736	-1	-1
2020	add_value	residential_units	31	2899	-1	-1
2029	add_value	residential_units	21	2900	-1	-1
2034	add_value	residential_units	36	2901	-1	-1
2032	add_value	residential_units	56	2902	-1	-1
2022	add_value	residential_units	23	6253	-1	-1
2022	add_value	residential_units	27	6254	-1	-1
2033	add_value	residential_units	6	6255	-1	-1
2022	add_value	residential_units	3	6256	-1	-1
2022	add_value	residential_units	10	6289	-1	-1
2021	add_value	residential_units	172	6290	-1	-1
2030	add_value	residential_units	12	6291	-1	-1
2028	add_value	residential_units	169	6292	-1	-1
2030	add_value	residential_units	10	6295	-1	-1
2027	add_value	residential_units	256	6296	-1	-1
2027	add_value	residential_units	2	6297	-1	-1
2021	add_value	residential_units	189	6298	-1	-1
2021	add_value	residential_units	20	6301	-1	-1
2024	add_value	residential_units	1086	6302	-1	-1
2032	add_value	residential_units	9	6303	-1	-1
2033	add_value	residential_units	626	6304	-1	-1
2033	add_value	residential_units	6	6349	-1	-1
2032	add_value	residential_units	176	6350	-1	-1
2020	add_value	residential_units	1	6351	-1	-1
2029	add_value	residential_units	145	6352	-1	-1
2023	add_value	residential_units	11	6439	-1	-1
2034	add_value	residential_units	97	6440	-1	-1
2030	add_value	residential_units	3	6441	-1	-1
2023	add_value	residential_units	378	6442	-1	-1
2030	add_value	residential_units	15	6451	-1	-1
2029	add_value	residential_units	189	6452	-1	-1
2020	add_value	residential_units	12	6453	-1	-1
2033	add_value	residential_units	443	6454	-1	-1
2032	add_value	residential_units	10	6487	-1	-1
2025	add_value	residential_units	221	6488	-1	-1
2025	add_value	residential_units	6	6489	-1	-1
2033	add_value	residential_units	386	6490	-1	-1
2026	add_value	residential_units	2	6553	-1	-1
2028	add_value	residential_units	570	6554	-1	-1
2023	add_value	residential_units	9	6555	-1	-1
2031	add_value	residential_units	256	6556	-1	-1
2024	add_value	residential_units	11	6583	-1	-1
2023	add_value	residential_units	216	6584	-1	-1
2025	add_value	residential_units	9	6585	-1	-1
2021	add_value	residential_units	254	6586	-1	-1
2030	add_value	residential_units	430	6608	-1	-1
2027	add_value	residential_units	137	6610	-1	-1
2030	add_value	residential_units	56	6673	-1	-1
2031	add_value	residential_units	242	6674	-1	-1
2026	add_value	residential_units	15	6675	-1	-1
2022	add_value	residential_units	241	6676	-1	-1
2029	add_value	residential_units	883	6680	-1	-1
2029	add_value	residential_units	437	6682	-1	-1
2034	add_value	residential_units	0	6026	-1	-1
2029	add_value	residential_units	0	6027	-1	-1
2028	add_value	residential_units	0	6028	-1	-1
2023	add_value	residential_units	0	6043	-1	-1
2022	add_value	residential_units	0	6044	-1	-1
2026	add_value	residential_units	0	6045	-1	-1
2024	add_value	residential_units	0	6046	-1	-1
2033	add_value	residential_units	0	6091	-1	-1
2023	add_value	residential_units	0	6092	-1	-1
2025	add_value	residential_units	0	6093	-1	-1
2030	add_value	residential_units	0	6094	-1	-1
2031	add_value	residential_units	0	6109	-1	-1
2033	add_value	residential_units	0	6110	-1	-1
2033	add_value	residential_units	0	6111	-1	-1
2032	add_value	residential_units	0	6112	-1	-1
2020	add_value	residential_units	0	6115	-1	-1
2025	add_value	residential_units	0	6116	-1	-1
2024	add_value	residential_units	0	6117	-1	-1
2028	add_value	residential_units	0	6118	-1	-1
2023	add_value	residential_units	0	6139	-1	-1
2020	add_value	residential_units	0	6140	-1	-1
2027	add_value	residential_units	0	6141	-1	-1
2023	add_value	residential_units	0	6142	-1	-1
2026	add_value	residential_units	232	6187	-1	-1
2027	add_value	residential_units	334	6188	-1	-1
2031	add_value	residential_units	79	6189	-1	-1
2023	add_value	residential_units	3152	6190	-1	-1
2033	add_value	residential_units	7	6205	-1	-1
2033	add_value	residential_units	693	6206	-1	-1
2031	add_value	residential_units	9	6207	-1	-1
2021	add_value	residential_units	682	6208	-1	-1
2033	add_value	residential_units	107	6223	-1	-1
2028	add_value	residential_units	399	6224	-1	-1
2024	add_value	residential_units	72	6225	-1	-1
2026	add_value	residential_units	696	6226	-1	-1
2027	add_value	residential_units	195	6229	-1	-1
2029	add_value	residential_units	3927	6230	-1	-1
2024	add_value	residential_units	35	6231	-1	-1
2030	add_value	residential_units	1521	6232	-1	-1
2029	add_value	residential_units	14	6235	-1	-1
2028	add_value	residential_units	49	6236	-1	-1
2031	add_value	residential_units	79	6237	-1	-1
2025	add_value	residential_units	193	6238	-1	-1
2029	add_value	residential_units	49	6853	-1	-1
2025	add_value	residential_units	98	6854	-1	-1
2023	add_value	residential_units	23	6855	-1	-1
2028	add_value	residential_units	5	6169	-1	-1
2033	add_value	residential_units	758	6170	-1	-1
2028	add_value	residential_units	101	6171	-1	-1
2026	add_value	residential_units	1376	6172	-1	-1
2025	add_value	residential_units	17	6241	-1	-1
2032	add_value	residential_units	1159	6242	-1	-1
2025	add_value	residential_units	11	6243	-1	-1
2024	add_value	residential_units	1912	6244	-1	-1
2033	add_value	residential_units	5	6259	-1	-1
2034	add_value	residential_units	20	6260	-1	-1
2034	add_value	residential_units	2	6261	-1	-1
2032	add_value	residential_units	335	6262	-1	-1
2020	add_value	residential_units	45	6325	-1	-1
2028	add_value	residential_units	734	6326	-1	-1
2025	add_value	residential_units	71	6327	-1	-1
2034	add_value	residential_units	747	6328	-1	-1
2030	add_value	residential_units	161	6355	-1	-1
2024	add_value	residential_units	909	6356	-1	-1
2023	add_value	residential_units	1452	6358	-1	-1
2032	add_value	residential_units	85	6361	-1	-1
2023	add_value	residential_units	355	6362	-1	-1
2026	add_value	residential_units	5	6363	-1	-1
2027	add_value	residential_units	401	6364	-1	-1
2023	add_value	residential_units	257	6373	-1	-1
2023	add_value	residential_units	54	6374	-1	-1
2029	add_value	residential_units	237	6375	-1	-1
2024	add_value	residential_units	638	6376	-1	-1
2032	add_value	residential_units	88	6403	-1	-1
2027	add_value	residential_units	33	6404	-1	-1
2025	add_value	residential_units	28	6405	-1	-1
2032	add_value	residential_units	139	6406	-1	-1
2024	add_value	residential_units	22	823	-1	-1
2025	add_value	residential_units	4	825	-1	-1
2031	add_value	residential_units	9	1813	-1	-1
2030	add_value	residential_units	32	1815	-1	-1
2022	add_value	residential_units	225	1831	-1	-1
2029	add_value	residential_units	69	1832	-1	-1
2021	add_value	residential_units	96	1833	-1	-1
2024	add_value	residential_units	171	1834	-1	-1
2021	add_value	residential_units	162	6379	-1	-1
2025	add_value	residential_units	256	6380	-1	-1
2024	add_value	residential_units	85	6381	-1	-1
2029	add_value	residential_units	381	6382	-1	-1
2027	add_value	residential_units	313	6397	-1	-1
2026	add_value	residential_units	91	6398	-1	-1
2031	add_value	residential_units	145	6399	-1	-1
2034	add_value	residential_units	526	6400	-1	-1
2027	add_value	residential_units	188	7165	-1	-1
2030	add_value	residential_units	25	7166	-1	-1
2032	add_value	residential_units	82	7167	-1	-1
2024	add_value	residential_units	174	7168	-1	-1
2029	add_value	residential_units	19	7555	-1	-1
2022	add_value	residential_units	95	7556	-1	-1
2020	add_value	residential_units	72	7557	-1	-1
2020	add_value	residential_units	15	7558	-1	-1
2030	add_value	residential_units	21	7693	-1	-1
2034	add_value	residential_units	81	7694	-1	-1
2030	add_value	residential_units	61	7695	-1	-1
2027	add_value	residential_units	1	7717	-1	-1
2028	add_value	residential_units	0	7719	-1	-1
2030	add_value	residential_units	0	3361	-1	-1
2033	add_value	residential_units	0	3362	-1	-1
2023	add_value	residential_units	0	3363	-1	-1
2022	add_value	residential_units	0	3364	-1	-1
2032	add_value	residential_units	0	3445	-1	-1
2025	add_value	residential_units	0	3446	-1	-1
2021	add_value	residential_units	0	3447	-1	-1
2024	add_value	residential_units	0	3448	-1	-1
2020	add_value	residential_units	0	3511	-1	-1
2028	add_value	residential_units	0	3513	-1	-1
2026	add_value	residential_units	0	3514	-1	-1
2024	add_value	residential_units	0	3535	-1	-1
2024	add_value	residential_units	0	3536	-1	-1
2028	add_value	residential_units	0	3537	-1	-1
2023	add_value	residential_units	0	3538	-1	-1
2034	add_value	residential_units	0	3649	-1	-1
2021	add_value	residential_units	0	3650	-1	-1
2025	add_value	residential_units	0	3651	-1	-1
2023	add_value	residential_units	0	3652	-1	-1
2022	add_value	residential_units	0	3733	-1	-1
2027	add_value	residential_units	0	3734	-1	-1
2023	add_value	residential_units	0	3735	-1	-1
2030	add_value	residential_units	0	3736	-1	-1
2024	add_value	residential_units	0	3859	-1	-1
2029	add_value	residential_units	0	3860	-1	-1
2026	add_value	residential_units	0	3861	-1	-1
2033	add_value	residential_units	0	3862	-1	-1
2033	add_value	residential_units	0	3931	-1	-1
2024	add_value	residential_units	0	3932	-1	-1
2034	add_value	residential_units	0	3933	-1	-1
2020	add_value	residential_units	0	3934	-1	-1
2023	add_value	residential_units	0	3979	-1	-1
2026	add_value	residential_units	0	3981	-1	-1
2026	add_value	residential_units	0	4015	-1	-1
2033	add_value	residential_units	0	4016	-1	-1
2029	add_value	residential_units	0	4017	-1	-1
2032	add_value	residential_units	0	4018	-1	-1
2030	add_value	residential_units	0	4213	-1	-1
2026	add_value	residential_units	0	4214	-1	-1
2025	add_value	residential_units	0	4215	-1	-1
2025	add_value	residential_units	0	4216	-1	-1
2030	add_value	residential_units	0	4435	-1	-1
2023	add_value	residential_units	0	4437	-1	-1
2026	add_value	residential_units	0	4438	-1	-1
2028	add_value	residential_units	0	4471	-1	-1
2029	add_value	residential_units	0	4472	-1	-1
2032	add_value	residential_units	0	4473	-1	-1
2024	add_value	residential_units	0	4474	-1	-1
2025	add_value	residential_units	0	4645	-1	-1
2034	add_value	residential_units	0	4647	-1	-1
2029	add_value	residential_units	0	4651	-1	-1
2033	add_value	residential_units	0	4652	-1	-1
2033	add_value	residential_units	0	4653	-1	-1
2021	add_value	residential_units	0	4654	-1	-1
2028	add_value	residential_units	0	4675	-1	-1
2030	add_value	residential_units	0	4676	-1	-1
2027	add_value	residential_units	0	4677	-1	-1
2021	add_value	residential_units	0	4678	-1	-1
2033	add_value	residential_units	0	4693	-1	-1
2029	add_value	residential_units	0	4696	-1	-1
2026	add_value	residential_units	0	4699	-1	-1
2023	add_value	residential_units	0	4700	-1	-1
2026	add_value	residential_units	0	4701	-1	-1
2030	add_value	residential_units	0	4702	-1	-1
2024	add_value	residential_units	0	4765	-1	-1
2031	add_value	residential_units	0	4766	-1	-1
2031	add_value	residential_units	0	4767	-1	-1
2026	add_value	residential_units	0	4768	-1	-1
2026	add_value	residential_units	0	4771	-1	-1
2027	add_value	residential_units	0	4772	-1	-1
2027	add_value	residential_units	0	4773	-1	-1
2024	add_value	residential_units	0	4774	-1	-1
2025	add_value	residential_units	0	4837	-1	-1
2026	add_value	residential_units	0	4838	-1	-1
2026	add_value	residential_units	0	4839	-1	-1
2024	add_value	residential_units	0	4840	-1	-1
2032	add_value	residential_units	0	4855	-1	-1
2023	add_value	residential_units	0	4856	-1	-1
2024	add_value	residential_units	0	4857	-1	-1
2029	add_value	residential_units	0	4858	-1	-1
2029	add_value	residential_units	0	4999	-1	-1
2030	add_value	residential_units	0	5000	-1	-1
2021	add_value	residential_units	0	5001	-1	-1
2020	add_value	residential_units	0	5002	-1	-1
2033	add_value	residential_units	0	5035	-1	-1
2027	add_value	residential_units	0	5036	-1	-1
2030	add_value	residential_units	0	5037	-1	-1
2023	add_value	residential_units	0	5071	-1	-1
2030	add_value	residential_units	0	5072	-1	-1
2033	add_value	residential_units	0	5073	-1	-1
2026	add_value	residential_units	0	5074	-1	-1
2029	add_value	residential_units	0	5167	-1	-1
2024	add_value	residential_units	0	5168	-1	-1
2023	add_value	residential_units	0	5169	-1	-1
2023	add_value	residential_units	0	5170	-1	-1
2030	add_value	residential_units	0	5251	-1	-1
2025	add_value	residential_units	0	5252	-1	-1
2020	add_value	residential_units	0	5253	-1	-1
2025	add_value	residential_units	0	5254	-1	-1
2027	add_value	residential_units	0	5269	-1	-1
2022	add_value	residential_units	0	5270	-1	-1
2030	add_value	residential_units	0	5271	-1	-1
2020	add_value	residential_units	0	5272	-1	-1
2026	add_value	residential_units	0	5305	-1	-1
2023	add_value	residential_units	0	5306	-1	-1
2023	add_value	residential_units	0	5307	-1	-1
2021	add_value	residential_units	0	5308	-1	-1
2028	add_value	residential_units	0	5359	-1	-1
2022	add_value	residential_units	0	5360	-1	-1
2024	add_value	residential_units	0	5361	-1	-1
2026	add_value	residential_units	0	5362	-1	-1
2030	add_value	residential_units	0	5371	-1	-1
2021	add_value	residential_units	0	5372	-1	-1
2025	add_value	residential_units	0	5373	-1	-1
2029	add_value	residential_units	0	5374	-1	-1
2033	add_value	residential_units	0	5377	-1	-1
2029	add_value	residential_units	0	5378	-1	-1
