ZGP_ID	GPZone	Name	2	3	4	5	6	7	8	9	10	11
21	Aulnay-Montfermeil	clichy_montfermeil	-0.5469	-0.0406	-0.1319	0.3612	-0.2345	0.1032	0.0714	0.0052	-0.1432	-0.3368
22	Biotechnologies Seine-Amont	biotech	-0.2579	-0.1493	-0.1082	-0.6267	-0.2049	-0.0036	-0.0391	-0.0814	-0.1211	-0.0605
23	Confluence	confluence	0.0650	-0.1092	-0.0771	0.1842	0.0131	0.0630	0.0066	-0.2632	-0.1251	0.2414
24	Descartes	descates	-0.1494	-0.1084	-0.1829	-0.0323	0.2790	-0.0365	0.0176	-0.0942	-0.0367	0.0223
25	LaDefense	la_defense	-0.3202	-0.3738	-0.2348	-0.4730	-0.0919	-0.0682	-0.0987	-0.9383	-0.5021	-0.3329
26	LeBourget	le_bourget	-0.4016	-0.1742	-0.1916	0.1601	-0.6102	0.0718	0.0438	-0.1202	-0.0132	-0.3086
47	Pleyel	pleyel	-0.1777	-0.1272	-0.1891	-0.1430	0.2962	0.0393	-0.0760	-0.0715	-0.1819	-0.0222
48	Roissy-pole	roissy	-0.1007	-0.1603	-0.0664	0.2541	-0.1555	-0.0875	0.0286	-0.1418	-0.3979	-0.0493
49	Saclay	saclay	-0.2069	-0.1528	0.0053	-0.1330	0.0146	0.0546	0.1707	-0.2455	-0.1591	0.1351
50	Val_de_France-Gonesse	val_de_france_gonesse	-0.0148	-0.1040	-0.0699	-0.0021	-0.1825	0.2342	0.2379	0.0471	-0.1020	-0.0338
99	Paris	paris_pole	-0.4365	-0.3034	-0.3734	-0.2112	-0.4572	-0.2758	-0.4161	-0.3392	-0.4599	-0.3708
