coefficient_name:S20	estimate:f8	standard_error:f8	sub_model_id:i2	t_statistic:f8
biotech_chlcm	1	0	1	1000
CBAnwCty	0.1333002	0.077475078	1	1.720555902
CBAparis	-0.367143929	0.361393601	1	-1.015911579
CBAPC	-0.221542642	0.076095022	1	-2.911394596
CDGart	-0.00150743	0.008550596	1	-0.17629531
CDGhighw	0.00649519	0.004969873	1	1.306912661
CLCsPriceH	-0.076911874	0.172786266	1	-0.445127249
CLCsPriceH_HRRinc	1.186162829	0.365181714	1	3.24814415
clichy_montfermeil_chlcm	1	0	1	1000
CNGsubwSP_HBRcar0	0.074607551	0.018240657	1	4.090178967
CNGsubwSP_HBRcar1g	-0.003189425	0.016725093	1	-0.19069697
CNGtrainSt_HBRcar0	0.040202148	0.030383855	1	1.323141813
CNGtrainSt_HBRcar1g	-0.04002551	0.01801645	1	-2.221609116
CNRsUnitsH	1.88E-05	1.06E-05	1	1.769955635
confluence_chlcm	1	0	1	1000
CPBhghInc_HBRhghInc	0.018507432	0.005520985	1	3.352197409
CPBlowInc_HBRlowInc	0.004876433	0.004496674	1	1.084453464
CPBMedInc_HBRmedInc	0.000540514	0.00724959	1	0.074557826
CPInoise	-0.012628861	0.215971202	1	-0.058474746
CPOforest	0.20133315	0.129050747	1	1.560108423
CPOwater	0.876547277	0.624673307	1	1.40320909
CPRaft90	0.472831488	0.29940486	1	1.579237819
CPRam0_HBRam0	0.002650255	0.011834418	1	0.223944679
CPRam1g_HBRam1g	0.036303431	0.006370704	1	5.698496342
CPRbef15	1.42052567	0.241848812	1	5.873610497
CPRKfrgn_KBRfrgn	0.056717031	0.015473885	1	3.665338755
CPRKfrgn_KBRnoFrgn	-0.005364853	0.005621087	1	-0.954415679
CPRKmidAge_KBRmidAge	0.004068675	0.006422701	1	0.633483469
CPRKold_KBRold	-0.005410941	0.009737364	1	-0.555688441
CPRKyng_KBRyng	0.024136696	0.007271298	1	3.319448233
CREdensEmp	0.018287355	0.011038767	1	1.656648278
CRRdensPop	0.011487854	0.009862668	1	1.16478157
ctdtco_HBRcar0	-0.003183648	0.001242948	1	-2.561369419
ctdtco_HBRcar1g	0.002967333	0.00062947	1	4.714016914
ctdvpo_HBRcar0	-0.001415255	0.004918739	1	-0.287727296
ctdvpo_HBRcar1g	-0.000701266	0.002606087	1	-0.269087791
descartes_chlcm	1	0	1	1000
