zgpgroup_id:i8	totemp_2005:f8
21	57636.0
22	267764.0
23	122400.0
24	164076.0
25	383239.0
26	43445.0
47	143315.0
48	114995.0
49	321108.0
50	39605.0
75	2063547.0
99	1649255.0
