AreaName,GEO2000,TRCTPOP7,SHR7D,SHRWHT7N,SHRWHT7,SHRBLK7N,SHRBLK7,SHRHSP7N,SHRHSP7,FORBORN7,SHRFOR7,TRCTPOP8,SHR8D,SHRWHT8N,SHRWHT8,SHRBLK8N,SHRBLK8,SHRAMI8N,SHRAPI8N,SHROTH8N,SHRHSP8N,SHRHSP8,FORBORN8,SHRFOR8,TRCTPOP9,SHR9D,SHRWHT9N,SHRWHT9,SHRBLK9N,SHRBLK9,SHRAMI9N,SHRAPI9N,SHROTH9N,SHRHSP9N,SHRHSP9,FORBORN9,SHRFOR9,TRCTPOP0,SHR0D,SHRWHT0N,SHRWHT0,MINWHT0N,MAXWHT0N,SHRBLK0N,SHRBLK0,MINBLK0N,MAXBLK0N,SHRAMI0N,MINAMI0N,MAXAMI0N,SHRASN0N,MINASN0N,MAXASN0N,SHRHIP0N,MINHIP0N,MAXHIP0N,SHRAPI0N,MINAPI0N,MAXAPI0N,SHROTH0N,MINOTH0N,MAXOTH0N,MRAPOP0N,MR1POP0N,MR2POP0N,MR3POP0N,SHRHSP0N,SHRHSP0,MRAHSP0N,FORBORN0,SHRFOR0
53033WA King County,53033000100,3757,3757,3637,0.96806,26,0.00692,20,0.005323,231,0.061485,4110,4110,3611,0.878588,145,0.035279,47,283,24,102,0.024817,417,0.101459,4891,4891,3626,0.741361,337,0.068902,73,783,72,123,0.025148,1050,0.21468,5530,5530,3623,0.655154,3514,3754,713,0.128933,590,713,86,82,104,705,627,929,104,100,104,809,727,958,299,299,434,318,5212,289,29,500,0.090416,14,1320,0.238698
53033WA King County,53033000200,6624,6624,6401,0.966335,97,0.014644,69,0.010417,364,0.054952,6529,6529,5881,0.90075,145,0.022208,90,388,25,92,0.01409,571,0.087455,7097,7097,5716,0.80541,216,0.030435,93,949,123,291,0.041003,1040,0.14654,7345,7345,5304,0.722124,5176,5447,483,0.065759,350,483,52,43,146,1363,1198,1408,16,7,51,1379,1205,1442,127,127,308,444,6901,398,46,393,0.053506,90,1543,0.210075
53033WA King County,53033000300,2919,2919,2869,0.982871,16,0.005481,83,0.028434,66,0.02261,2306,2306,2095,0.908499,32,0.013876,21,99,59,59,0.025585,127,0.055073,2466,2466,1998,0.810218,129,0.052311,6,274,59,81,0.032846,311,0.126115,2485,2485,1895,0.762575,1845,1926,182,0.073239,140,182,14,14,92,366,302,373,1,0,13,367,302,379,27,27,92,157,2328,146,11,119,0.047887,15,411,0.165392
53033WA King County,53033000401,3628,3628,3607,0.994212,0,0,25,0.006891,292,0.080485,3486,3486,3296,0.945496,23,0.006597,30,110,27,51,0.014629,402,0.115318,3914,3914,3432,0.876852,107,0.027337,70,294,11,111,0.028359,506,0.129279,4734,4734,3513,0.742079,3419,3650,204,0.043093,141,246,7,5,90,808,669,808,18,11,29,826,680,826,184,184,184,305,4429,285,20,322,0.068019,30,1086,0.229404
53033WA King County,53033000402,3743,3743,3723,0.994657,0,0,26,0.006946,301,0.080417,3598,3598,3402,0.945525,23,0.006392,30,115,28,53,0.01473,414,0.115063,4039,4039,3542,0.876949,110,0.027234,73,303,11,114,0.028224,522,0.129239,4582,4582,3705,0.808599,3665,3805,240,0.052379,191,245,67,67,111,456,392,458,2,0,24,458,392,471,112,112,137,155,4427,136,19,229,0.049978,21,727,0.158664
53033WA King County,53033000500,3776,3776,3735,0.989142,26,0.006886,33,0.008739,194,0.051377,3423,3423,3390,0.990359,12,0.003505,10,11,0,0,0,198,0.057844,3123,3123,2972,0.951649,31,0.009926,0,99,21,39,0.012487,349,0.111751,3296,3296,2966,0.899879,2936,3017,32,0.009709,21,42,18,18,43,223,176,240,2,0,19,225,176,251,55,55,55,90,3206,69,21,84,0.025485,0,356,0.10801
53033WA King County,53033000600,5842,5842,5729,0.980657,0,0,19,0.003252,402,0.068812,5508,5508,5145,0.934095,8,0.001452,14,326,15,79,0.014342,550,0.099854,6585,6585,5346,0.811845,150,0.022779,68,972,49,191,0.029005,1187,0.180258,7361,7361,5092,0.691754,4923,5175,435,0.059095,281,491,61,58,208,1639,1416,1639,26,7,44,1665,1423,1665,108,108,320,568,6793,534,34,492,0.066839,111,1930,0.262193
53033WA King County,53033000700,3328,3328,3292,0.989183,0,0,0,0,180,0.054087,3164,3164,2866,0.905815,29,0.009165,17,193,59,87,0.027496,295,0.093236,3444,3444,2810,0.815911,135,0.039198,16,384,99,143,0.041521,461,0.133855,4189,4189,2852,0.680831,2808,2972,290,0.069229,232,292,45,45,85,776,702,805,9,6,54,785,708,827,217,217,241,179,4010,166,13,307,0.073287,18,861,0.205538
53033WA King County,53033000800,2840,2840,2724,0.959155,0,0,43,0.015141,182,0.064085,2505,2505,2201,0.878642,27,0.010778,34,187,56,50,0.01996,226,0.090219,2422,2422,2084,0.860445,41,0.016928,41,239,17,22,0.009083,324,0.133773,2600,2600,2036,0.783077,2006,2136,118,0.045385,96,118,22,22,51,371,341,371,1,0,11,372,341,372,52,52,72,83,2517,79,4,99,0.038077,8,401,0.154231
53033WA King County,53033000900,2404,2404,2373,0.987105,0,0,3,0.001248,156,0.064892,1895,1895,1779,0.938786,36,0.018997,6,74,0,14,0.007387,260,0.137203,1856,1856,1678,0.904094,7,0.003771,18,143,10,41,0.02209,181,0.097521,2034,2034,1866,0.917404,1862,1866,18,0.00885,15,30,12,12,16,106,93,184,0,0,4,106,93,187,32,32,35,20,2014,18,2,39,0.019174,0,211,0.103736
53033WA King County,53033001000,1515,1515,1461,0.964356,0,0,8,0.005281,120,0.079208,1479,1479,1399,0.945909,0,0,41,32,7,23,0.015551,103,0.069641,1517,1517,1254,0.826631,91,0.059986,25,144,3,32,0.021094,160,0.105471,1737,1737,1282,0.738054,1264,1350,103,0.059298,60,107,23,23,42,280,229,280,1,0,4,281,229,281,48,48,52,113,1624,102,11,93,0.053541,24,257,0.147956
53033WA King County,53033001100,2431,2431,2295,0.944056,17,0.006993,11,0.004525,109,0.044838,2148,2148,1992,0.927374,26,0.012104,34,94,1,14,0.006517,149,0.069366,2173,2173,1928,0.887252,15,0.006902,9,220,1,76,0.034974,255,0.117349,2337,2337,1905,0.815148,1872,1921,104,0.044501,77,104,7,5,43,293,258,324,28,26,28,321,284,336,0,0,72,99,2238,89,10,63,0.026958,0,251,0.107403
53033WA King County,53033001200,3048,3048,2935,0.962927,93,0.030512,79,0.025919,183,0.060039,4501,4501,4006,0.890024,170,0.037769,82,231,12,59,0.013108,596,0.132415,5367,5367,4090,0.762064,305,0.056828,66,778,128,259,0.048257,1066,0.198621,6116,6116,4207,0.687868,4052,4300,526,0.086004,424,526,59,58,111,1168,1010,1168,11,0,62,1179,1010,1179,145,145,399,427,5689,414,13,356,0.058208,53,1789,0.292511
53033WA King County,53033001300,3055,3055,3026,0.990507,14,0.004583,139,0.045499,229,0.074959,3091,3091,2824,0.91362,57,0.01844,86,104,20,70,0.022646,396,0.128113,3872,3872,3140,0.81095,78,0.020144,126,489,39,110,0.028409,593,0.15315,4183,4183,2958,0.707148,2859,2983,278,0.066459,188,356,51,39,117,776,657,776,30,20,38,806,677,806,90,90,247,330,3853,291,39,380,0.090844,83,1049,0.250777
53033WA King County,53033001400,4504,4504,4453,0.988677,13,0.002886,18,0.003996,382,0.084813,4237,4237,3995,0.942884,22,0.005192,40,156,24,72,0.016993,412,0.097238,4384,4384,4045,0.922673,87,0.019844,47,205,0,62,0.014142,352,0.080291,4673,4673,3866,0.827306,3817,4029,227,0.048577,173,227,19,18,111,428,359,428,50,45,50,478,404,478,83,83,155,178,4495,158,20,244,0.052215,53,584,0.124973
53033WA King County,53033001500,2639,2639,2635,0.998484,0,0,47,0.01781,474,0.179613,2367,2367,2281,0.963667,0,0,25,47,14,50,0.021123,415,0.175327,2372,2372,2184,0.920742,11,0.004637,0,127,50,109,0.045952,342,0.144182,2329,2329,2234,0.95921,2213,2234,3,0.001288,0,24,0,0,23,92,58,111,0,0,0,92,58,111,0,0,15,58,2271,55,3,91,0.039073,15,317,0.13611
53033WA King County,53033001600,4461,4461,4417,0.990137,1,0.000224,113,0.025331,440,0.098633,3780,3780,3703,0.979629,24,0.006349,5,35,13,58,0.015343,394,0.104232,3759,3759,3583,0.953179,22,0.005852,21,113,20,63,0.016759,362,0.096302,3967,3967,3570,0.899924,3534,3628,83,0.020923,57,83,8,8,74,285,242,285,2,0,12,287,242,287,19,19,53,107,3860,94,13,60,0.015125,0,481,0.12125
53033WA King County,53033001700,6213,6213,6082,0.978915,5,0.000805,35,0.005633,512,0.082408,5955,5955,5385,0.904282,105,0.017632,120,317,28,76,0.012762,652,0.109487,6781,6781,5495,0.810352,181,0.026692,176,796,133,297,0.043798,984,0.145111,7448,7448,5730,0.769334,5537,5856,376,0.050483,230,416,100,97,256,1110,966,1110,17,12,45,1127,978,1127,115,115,273,491,6957,445,46,415,0.05572,124,1343,0.180317
53033WA King County,53033001800,3171,3171,3126,0.985809,3,0.000946,80,0.025229,243,0.076632,2922,2922,2764,0.945927,50,0.017111,26,71,11,24,0.008213,287,0.09822,3490,3490,2855,0.818051,166,0.047564,84,308,77,124,0.03553,474,0.135816,3991,3991,2939,0.736407,2872,3103,299,0.074919,229,299,42,39,125,522,444,522,19,13,34,541,457,541,170,170,173,224,3767,203,21,303,0.075921,56,732,0.183413
53033WA King County,53033001900,3876,3876,3807,0.982198,21,0.005418,210,0.05418,403,0.103973,3008,3008,2767,0.91988,78,0.02593,7,156,0,51,0.016954,274,0.09109,3180,3180,2777,0.87327,69,0.021698,28,256,50,131,0.041194,366,0.115094,3423,3423,2785,0.813614,2727,2860,79,0.023079,52,104,14,13,58,479,406,479,9,8,27,488,414,488,57,57,81,160,3263,145,15,80,0.023371,0,461,0.134677
53033WA King County,53033002000,3189,3189,3122,0.97899,35,0.010975,70,0.02195,249,0.078081,2722,2722,2568,0.943423,34,0.01249,41,43,37,73,0.026818,310,0.113886,2808,2808,2500,0.890313,53,0.018874,22,208,25,66,0.023504,253,0.090099,3116,3116,2640,0.84724,2571,2691,136,0.043646,99,136,7,5,43,251,165,297,12,9,16,263,174,307,70,70,87,197,2919,179,18,116,0.037227,31,336,0.107831
