AreaName,GEO2000,TRCTPOP7,SHR7D,SHRWHT7N,SHRWHT7,SHRBLK7N,SHRBLK7,SHRHSP7N,SHRHSP7,FORBORN7,SHRFOR7,TRCTPOP8,SHR8D,SHRWHT8N,SHRWHT8,SHRBLK8N,SHRBLK8,SHRAMI8N,SHRAPI8N,SHROTH8N,SHRHSP8N,SHRHSP8,FORBORN8,SHRFOR8,TRCTPOP9,SHR9D,SHRWHT9N,SHRWHT9,SHRBLK9N,SHRBLK9,SHRAMI9N,SHRAPI9N,SHROTH9N,SHRHSP9N,SHRHSP9,FORBORN9,SHRFOR9,TRCTPOP0,SHR0D,SHRWHT0N,SHRWHT0,MINWHT0N,MAXWHT0N,SHRBLK0N,SHRBLK0,MINBLK0N,MAXBLK0N,SHRAMI0N,MINAMI0N,MAXAMI0N,SHRASN0N,MINASN0N,MAXASN0N,SHRHIP0N,MINHIP0N,MAXHIP0N,SHRAPI0N,MINAPI0N,MAXAPI0N,SHROTH0N,MINOTH0N,MAXOTH0N,MRAPOP0N,MR1POP0N,MR2POP0N,MR3POP0N,SHRHSP0N,SHRHSP0,MRAHSP0N,FORBORN0,SHRFOR0
53033WA King County,53033002100,3886,3886,3763,0.968348,65,0.016727,81,0.020844,270,0.06948,3415,3415,3102,0.908345,21,0.006149,73,176,43,63,0.018448,451,0.132064,3433,3433,2989,0.870667,94,0.027381,39,289,22,48,0.013981,316,0.092047,3637,3637,3053,0.839428,3024,3091,155,0.042618,109,155,11,11,59,400,335,421,1,0,17,401,335,429,17,17,77,141,3496,132,9,108,0.029695,14,437,0.120154
53033WA King County,53033002200,5558,5558,5375,0.967074,12,0.002159,149,0.026808,391,0.070349,5083,5083,4738,0.932126,59,0.011607,8,247,31,133,0.026165,520,0.102301,5003,5003,4452,0.889866,60,0.011992,20,452,20,99,0.019788,569,0.113731,5396,5396,4546,0.842476,4484,4622,55,0.010193,13,122,20,17,53,681,574,681,4,0,7,685,574,685,90,90,135,218,5178,205,13,224,0.041512,29,770,0.142698
53033WA King County,53033002400,3129,3129,3073,0.982103,0,0,26,0.008309,217,0.069351,2774,2774,2480,0.894015,0,0,32,259,3,30,0.010814,378,0.136265,2742,2742,2338,0.852662,12,0.004376,26,339,27,138,0.050328,439,0.160102,2828,2828,2390,0.84512,2351,2479,95,0.033593,62,95,12,12,24,311,239,336,8,0,18,319,239,344,12,12,41,152,2676,134,18,47,0.01662,8,419,0.148161
53033WA King County,53033002500,2726,2726,2622,0.961849,28,0.010271,21,0.007704,221,0.081071,2365,2365,2239,0.946723,7,0.002959,16,74,29,15,0.006342,260,0.109936,2532,2532,2179,0.860584,81,0.03199,0,179,93,134,0.052922,415,0.163902,2541,2541,2161,0.850453,2132,2262,59,0.023219,36,82,20,20,43,195,158,223,24,23,24,219,181,228,82,82,82,90,2451,82,8,121,0.047619,21,302,0.118851
53033WA King County,53033002600,4585,4585,4437,0.967721,63,0.01374,36,0.007852,356,0.077644,3972,3972,3714,0.935045,51,0.012839,34,150,23,77,0.019385,289,0.072759,4181,4181,3871,0.925855,67,0.016024,8,220,15,53,0.012676,318,0.076058,4522,4522,3997,0.883901,3955,4087,70,0.01548,41,87,42,42,57,340,252,361,50,44,50,390,296,390,23,23,70,165,4357,154,11,151,0.033392,16,355,0.078505
53033WA King County,53033002700,5490,5490,5389,0.981603,16,0.002914,68,0.012386,510,0.092896,4766,4766,4472,0.938313,23,0.004825,111,95,65,99,0.020772,421,0.088334,4753,4753,4473,0.941089,19,0.003997,16,229,16,79,0.016621,354,0.074479,4943,4943,4316,0.873154,4260,4508,115,0.023265,71,123,93,93,93,359,274,370,4,0,16,363,274,384,56,56,56,189,4754,177,12,135,0.027311,67,380,0.076876
53033WA King County,53033002800,4572,4572,4480,0.979878,14,0.003062,77,0.016842,371,0.081146,3999,3999,3727,0.931983,61,0.015253,11,187,13,90,0.022505,366,0.091522,3982,3982,3688,0.926167,79,0.019839,40,137,38,60,0.015067,227,0.057006,4232,4232,3821,0.902883,3783,3876,96,0.022684,77,96,10,10,74,296,244,296,2,0,24,298,244,298,7,7,67,111,4121,102,9,140,0.033081,7,344,0.081285
53033WA King County,53033002900,4619,4619,4482,0.97034,68,0.014722,97,0.021,433,0.093743,3970,3970,3682,0.927455,22,0.005541,96,108,62,114,0.028715,398,0.100251,3924,3924,3629,0.924821,40,0.010193,34,200,21,42,0.010703,330,0.084097,3984,3984,3650,0.916165,3571,3674,65,0.016315,25,93,13,13,85,210,159,210,4,0,11,214,159,216,42,42,114,174,3810,161,13,118,0.029618,0,264,0.066265
53033WA King County,53033003000,6223,6223,6156,0.989233,22,0.003535,129,0.02073,745,0.119717,5293,5293,4949,0.935008,23,0.004345,64,176,81,69,0.013036,519,0.098054,5117,5117,4830,0.943912,8,0.001563,54,189,36,185,0.036154,352,0.06879,5250,5250,4752,0.905143,4676,4813,69,0.013143,26,120,73,72,109,231,167,249,41,37,41,272,204,272,84,84,136,188,5062,167,21,221,0.042095,49,441,0.084
53033WA King County,53033003100,6544,6544,6479,0.990067,0,0,34,0.005196,1233,0.188417,5826,5826,5635,0.967215,11,0.001888,96,84,0,60,0.010298,785,0.13474,5764,5764,5544,0.961832,9,0.001561,82,129,0,64,0.011103,514,0.089174,6038,6038,5653,0.936237,5607,5677,59,0.009771,43,80,77,77,99,196,161,214,21,19,25,217,180,232,32,32,114,99,5939,94,5,191,0.031633,9,355,0.058794
53033WA King County,53033003200,7077,7077,7005,0.989826,19,0.002685,16,0.002261,894,0.126325,6549,6549,6191,0.945335,26,0.00397,127,161,44,155,0.023667,741,0.113147,7035,7035,6520,0.926794,104,0.014783,99,253,59,218,0.030987,501,0.071215,7213,7213,6575,0.911549,6476,6718,130,0.018023,81,130,48,45,146,390,297,390,21,0,45,411,297,411,49,49,140,265,6948,241,24,257,0.03563,95,726,0.100652
53033WA King County,53033003300,5832,5832,5716,0.98011,0,0,144,0.024691,750,0.128601,5226,5226,4804,0.919249,87,0.016647,138,172,25,102,0.019517,468,0.089552,5674,5674,5111,0.900775,203,0.035777,52,263,45,143,0.025202,547,0.096404,5832,5832,5137,0.88083,4979,5227,146,0.025034,79,155,117,114,171,322,240,322,6,0,24,328,240,328,104,104,204,316,5516,285,31,283,0.048525,110,540,0.092593
53033WA King County,53033003400,3666,3666,3549,0.968085,0,0,125,0.034097,190,0.051828,3151,3151,2865,0.909235,27,0.008568,58,150,51,162,0.051412,322,0.102189,3227,3227,2925,0.906414,20,0.006197,62,195,25,52,0.016114,345,0.10691,3198,3198,2883,0.901501,2838,2942,128,0.040025,89,128,28,28,68,153,91,172,0,0,4,153,91,173,6,6,46,146,3052,136,10,71,0.022201,16,209,0.065353
53033WA King County,53033003500,4068,4068,4010,0.985742,10,0.002458,26,0.006391,358,0.088004,3461,3461,3261,0.942213,17,0.004911,46,108,29,93,0.02687,379,0.109505,3640,3640,3439,0.94478,21,0.005769,41,114,25,110,0.030219,357,0.098076,3639,3639,3349,0.920308,3291,3389,53,0.014564,17,64,17,17,55,171,118,171,4,0,5,175,118,175,45,45,71,151,3488,141,10,124,0.034075,42,234,0.064303
53033WA King County,53033003600,4274,4274,4087,0.956247,65,0.015208,84,0.019654,280,0.065512,4129,4129,3887,0.94139,31,0.007507,22,160,29,108,0.026156,503,0.121821,4382,4382,4084,0.931994,44,0.010041,10,215,29,89,0.02031,422,0.096303,4886,4886,4213,0.86226,4142,4345,121,0.024765,57,148,0,0,102,536,429,536,7,0,24,543,429,543,9,9,68,249,4637,226,23,115,0.023537,36,515,0.105403
53033WA King County,53033003800,2256,2256,2251,0.997784,5,0.002216,160,0.070922,195,0.086436,1913,1913,1688,0.882383,62,0.032409,0,144,19,67,0.035023,196,0.102456,1819,1819,1598,0.878504,18,0.009895,0,176,27,45,0.024738,256,0.140736,1995,1995,1762,0.883208,1746,1762,12,0.006015,7,31,1,0,24,186,161,212,4,0,10,190,161,219,30,30,30,51,1944,45,6,49,0.024561,0,295,0.14787
53033WA King County,53033003900,3428,3428,3381,0.986289,23,0.006709,20,0.005834,203,0.059218,2891,2891,2720,0.94085,0,0,29,137,5,18,0.006226,279,0.096506,2696,2696,2357,0.874258,43,0.015949,42,246,8,70,0.025964,323,0.119807,2688,2688,2213,0.823289,2165,2358,64,0.02381,26,64,20,20,38,344,265,344,3,0,8,347,265,347,44,44,44,168,2520,151,17,71,0.026414,0,365,0.135789
53033WA King County,53033004000,2163,2163,2135,0.987055,1,0.000462,51,0.023578,118,0.054554,2553,2553,2351,0.920877,77,0.03016,0,123,2,68,0.026635,304,0.119075,2549,2549,2322,0.910945,56,0.021969,1,160,9,64,0.025107,293,0.114947,2352,2352,2077,0.883078,2062,2077,62,0.026361,50,69,1,0,27,205,171,234,1,0,16,206,171,249,6,6,27,63,2289,61,2,24,0.010204,24,349,0.148384
53033WA King County,53033004100,8477,8477,8371,0.987496,12,0.001416,0,0,596,0.070308,7044,7044,6655,0.944775,64,0.009085,56,228,41,131,0.018597,744,0.105621,7433,7433,6670,0.897349,77,0.010359,57,567,62,168,0.022601,943,0.126866,7505,7505,6573,0.875816,6516,6664,144,0.019187,112,144,40,40,63,702,590,767,7,0,24,709,590,778,39,39,103,208,7297,190,18,146,0.019454,8,890,0.118588
53033WA King County,53033004200,7615,7615,7344,0.964412,63,0.008273,139,0.018253,771,0.101248,6619,6619,6181,0.933826,132,0.019942,0,246,60,146,0.022057,944,0.142619,6880,6880,6283,0.913226,141,0.020494,73,341,42,112,0.016279,567,0.082412,7202,7202,6233,0.865454,6175,6365,265,0.036795,192,265,4,4,81,602,443,633,74,73,74,676,516,676,24,24,101,291,6911,271,20,182,0.025271,13,785,0.108998
53033WA King County,53033004300,5403,5403,5222,0.9665,40,0.007403,69,0.012771,416,0.076994,5321,5321,4745,0.891749,86,0.016162,39,358,93,120,0.022552,665,0.124976,6133,6133,5147,0.83923,163,0.026577,86,647,90,188,0.030653,844,0.137616,6132,6132,4936,0.804958,4867,5112,232,0.037834,178,232,9,8,86,836,713,836,1,0,39,837,713,850,118,118,130,248,5884,226,22,236,0.038487,16,907,0.147913
53033WA King County,53033004400,5382,5382,5055,0.939242,38,0.007061,95,0.017651,424,0.078781,5169,5169,4580,0.886051,90,0.017411,15,406,78,118,0.022828,651,0.125943,5643,5643,4779,0.846889,150,0.026581,65,583,66,120,0.021265,885,0.156831,5740,5740,4678,0.814983,4550,4736,104,0.018118,51,153,15,15,110,845,720,845,7,0,34,852,720,852,91,91,148,313,5427,285,28,260,0.045296,94,933,0.162544
53033WA King County,53033004500,2583,2583,2496,0.966318,18,0.006969,32,0.012389,221,0.085559,2379,2379,2190,0.920554,51,0.021437,13,117,8,65,0.027322,159,0.066834,2466,2466,2258,0.915652,121,0.049067,16,53,18,118,0.04785,141,0.057177,2369,2369,2024,0.854369,1975,2164,74,0.031237,42,74,0,0,47,245,182,245,26,21,26,271,203,271,0,0,20,149,2220,131,18,68,0.028704,0,266,0.112284
53033WA King County,53033004600,3619,3619,3514,0.970986,24,0.006632,22,0.006079,386,0.106659,3131,3131,3001,0.958479,5,0.001596,16,90,19,68,0.021718,163,0.05206,2906,2906,2646,0.910529,78,0.026841,0,182,0,66,0.022711,229,0.078802,3068,3068,2852,0.929596,2831,2852,43,0.014016,20,54,6,6,38,135,84,206,19,19,19,154,103,210,13,13,39,95,2973,87,8,142,0.046284,31,285,0.092894
53033WA King County,53033004700,4428,4428,4238,0.957091,34,0.007678,88,0.019874,496,0.112014,3880,3880,3743,0.96469,26,0.006701,43,51,17,89,0.022938,313,0.08067,4428,4428,3976,0.897922,59,0.013324,117,170,106,158,0.035682,481,0.108626,4916,4916,4200,0.854353,4098,4313,176,0.035801,132,187,37,33,150,274,185,274,3,0,28,277,185,290,226,226,226,242,4674,221,21,311,0.063263,37,569,0.115745
53033WA King County,53033004800,4616,4616,4534,0.982236,12,0.0026,51,0.011049,364,0.078856,4023,4023,3796,0.943574,18,0.004474,48,136,25,27,0.006711,411,0.102162,4153,4153,3775,0.908981,96,0.023115,65,157,60,152,0.0366,206,0.049602,4325,4325,3942,0.911445,3869,3945,111,0.025665,74,121,49,49,104,196,136,219,5,0,11,201,136,226,22,22,91,175,4150,163,12,185,0.042775,0,294,0.067977
53033WA King County,53033004900,5261,5261,5130,0.9751,0,0,80,0.015206,650,0.123551,4870,4870,4446,0.912936,37,0.007597,133,182,72,134,0.027515,490,0.100616,5291,5291,4743,0.896427,166,0.031374,78,245,59,150,0.02835,324,0.061236,5525,5525,4930,0.892308,4836,5050,196,0.035475,129,196,54,51,88,241,141,321,16,8,18,257,149,336,88,88,96,272,5253,248,24,175,0.031674,36,398,0.072036
53033WA King County,53033005000,3016,3016,2885,0.956565,16,0.005305,46,0.015252,309,0.102454,2631,2631,2414,0.917521,19,0.007221,37,119,42,86,0.032687,205,0.077917,2702,2702,2465,0.912287,29,0.010732,6,118,84,110,0.04071,196,0.072538,3252,3252,2863,0.880381,2822,2897,120,0.0369,102,120,0,0,44,170,135,230,29,26,29,199,161,256,70,70,75,97,3155,91,6,143,0.043973,10,326,0.100246
53033WA King County,53033005100,4063,4063,3754,0.923948,56,0.013783,66,0.016244,284,0.069899,3439,3439,3138,0.912474,35,0.010177,50,153,63,112,0.032567,222,0.064553,3392,3392,3007,0.886497,27,0.007959,63,188,107,206,0.060731,346,0.102004,3420,3420,3064,0.895906,3011,3122,72,0.021053,44,72,10,9,56,255,177,255,1,0,12,256,177,256,18,18,51,161,3259,149,12,111,0.032456,28,376,0.109942
53033WA King County,53033005200,3393,3393,3209,0.945771,13,0.003831,104,0.030651,395,0.116416,3484,3484,3161,0.90729,65,0.018656,8,212,38,71,0.020378,430,0.123421,4576,4576,3684,0.805069,98,0.021416,50,688,56,230,0.050262,762,0.16652,5281,5281,4033,0.763681,3962,4155,158,0.029919,110,158,88,88,88,817,662,960,85,75,85,902,737,983,100,100,183,284,4997,264,20,181,0.034274,21,760,0.143912
53033WA King County,53033005301,5598,5598,5070,0.905681,126,0.022508,68,0.012147,593,0.105931,5616,5616,4748,0.845441,143,0.025462,44,642,39,154,0.027421,864,0.153846,5507,5507,4285,0.7781,145,0.02633,34,992,51,224,0.040675,1028,0.186671,8509,8509,6190,0.727465,6094,6457,189,0.022212,140,230,35,35,102,1925,1672,1925,32,22,59,1957,1694,1957,138,138,202,408,8101,388,20,332,0.039018,20,1389,0.163239
53033WA King County,53033005302,4745,4745,4297,0.905585,106,0.022339,58,0.012223,503,0.106006,5126,5126,3649,0.711861,272,0.053062,56,981,168,246,0.04799,959,0.187085,4668,4668,3068,0.65724,227,0.048628,47,1205,121,194,0.041559,1017,0.217866,2561,2561,1489,0.581414,1469,1621,78,0.030457,62,90,62,62,62,861,755,915,14,11,49,875,766,931,57,57,57,145,2416,123,22,105,0.041,22,623,0.243264
53033WA King County,53033005400,3890,3890,3698,0.950643,47,0.012082,65,0.01671,393,0.101028,3478,3478,3180,0.914318,75,0.021564,32,143,48,102,0.029327,201,0.057791,3929,3929,3531,0.898701,78,0.019852,42,232,46,118,0.030033,365,0.092898,4241,4241,3827,0.902382,3784,3908,66,0.015562,40,87,12,12,68,305,259,305,19,15,19,324,274,324,12,12,65,119,4122,109,10,153,0.036076,48,282,0.066494
53033WA King County,53033005600,6907,6907,6854,0.992327,0,0,91,0.013175,559,0.080932,6321,6321,6110,0.966619,15,0.002373,30,151,15,32,0.005062,554,0.087644,6163,6163,5869,0.952295,42,0.006814,30,191,31,83,0.013467,383,0.062145,6229,6229,5749,0.922941,5658,5873,96,0.015412,62,96,22,22,70,312,223,312,8,7,10,320,230,320,42,42,64,215,6014,210,5,136,0.021833,20,513,0.082357
53033WA King County,53033005700,6464,6464,6289,0.972927,54,0.008354,105,0.016244,623,0.09638,5762,5762,5331,0.925199,37,0.006421,43,342,9,91,0.015793,549,0.095279,5747,5747,5114,0.889855,73,0.012702,55,429,76,223,0.038802,678,0.117974,5990,5990,5166,0.862437,5126,5316,162,0.027045,134,162,62,62,69,460,378,520,56,46,56,516,424,562,84,84,90,160,5830,150,10,197,0.032888,0,634,0.105843
53033WA King County,53033005801,4024,4024,3840,0.954274,29,0.007207,78,0.019384,347,0.086233,4084,4084,3680,0.901077,107,0.026199,101,175,21,89,0.021792,424,0.103819,4237,4237,3802,0.897333,132,0.031154,32,263,9,71,0.016757,351,0.082841,4543,4543,3877,0.853401,3844,3957,131,0.028836,101,159,7,7,77,440,389,440,15,14,29,455,403,455,73,73,100,115,4428,109,6,174,0.038301,0,685,0.150781
53033WA King County,53033005802,4056,4056,3869,0.953895,30,0.007396,79,0.019477,349,0.086045,3693,3693,3408,0.922826,40,0.010831,29,196,20,84,0.022745,511,0.138369,4257,4257,3722,0.874324,152,0.035705,74,264,44,162,0.038054,434,0.101949,4817,4817,4186,0.869006,4140,4242,167,0.034669,116,178,34,33,85,362,278,362,22,18,35,384,296,384,46,46,125,186,4631,163,23,257,0.053353,8,434,0.090098
53033WA King County,53033005900,6462,6462,6242,0.965955,11,0.001702,32,0.004952,557,0.086196,6193,6193,5763,0.930566,47,0.007589,126,207,50,86,0.013886,408,0.06588,6024,6024,5595,0.928784,87,0.014442,42,239,61,108,0.017928,342,0.056772,6715,6715,6126,0.912286,6046,6198,102,0.01519,55,126,37,37,88,427,340,427,23,19,35,450,359,450,0,0,109,218,6497,195,23,195,0.029039,77,540,0.080417
