choice av dur_nc_1 dur_nc_2 dur_nc_3 dur_nc_4 dur_nc_5 dur_nc_6 dur_nc_7 dur_nc_8 dur_nc_9 dur_nc_10 pmiw_m_1 pmiw_m_2 pmiw_m_3 pmiw_m_4 pmiw_m_5 pmiw_m_6 pmiw_m_7 pmiw_m_8 pmiw_m_9 pmiw_m_10 pmnwmj_1 pmnwmj_2 pmnwmj_3 pmnwmj_4 pmnwmj_5 pmnwmj_6 pmnwmj_7 pmnwmj_8 pmnwmj_9 pmnwmj_10 phiw_h_1 phiw_h_2 phiw_h_3 phiw_h_4 phiw_h_5 phiw_h_6 phiw_h_7 phiw_h_8 phiw_h_9 phiw_h_10 pliw_l_1 pliw_l_2 pliw_l_3 pliw_l_4 pliw_l_5 pliw_l_6 pliw_l_7 pliw_l_8 pliw_l_9 pliw_l_10
3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.078125 12.2257053291536 36.3636363636364 10.0358422939068 25.2199413489736 11.7381489841986 4.27968655816757 19.4570135746606 25.9154929577465 16.5217391304348
10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24.2380261248186 34.4339622641509 33.3825701624815 21.0526315789474 24.6753246753247 24.3553008595989 62.4699278267843 71.6268311488049 32.0454545454545 37.204910292729 0 0 0 0 0 0 0 0 0 0
7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.2661596958175 8.99031811894882 15.4897494305239 5.32915360501567 20.097244732577 14.5429362880886 12.3636363636364 24.9122807017544 7.64904386951631 10.7448107448107
7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.897666068222621 6.71328671328671 3.57615894039735 6.01769911504425 2.90858725761773 3.77019748653501 7.32782369146005 2.48190279214064 4.15704387990762 7.47422680412371 22.262118491921 25.3146853146853 21.4569536423841 53.3333333333333 39.3351800554017 22.6211849192101 48.870523415978 40.124095139607 26.3279445727483 20.8762886597938 0 0 0 0 0 0 0 0 0 0
8 1 18 82 13 14 12 16 25 7 20 21 60.7969151670951 34.6692111959288 60.5381165919283 51.027397260274 64.41647597254 62.109955423477 54.1453428863869 58.6638830897704 53.8563829787234 55.9523809523809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22.6618705035971 70.7160096540627 56.35103926097 21.6601815823606 42.0781893004115 36.6081871345029 29.4845360824742 16.6023166023166 18.7066974595843 40.3225806451613 0 0 0 0 0 0 0 0 0 0
4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.8064516129032 34.8453608247423 19.8807157057654 20.0255102040816 25.6637168141593 26.6384778012685 27.5167785234899 73.7536656891496 39.3415637860082 63.6286919831224 0 0 0 0 0 0 0 0 0 0
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.4696569920844 43.1601272534464 25.3146853146853 22.6923076923077 26.6467065868263 42.0781893004115 58.0788804071247 25.8938244853738 30.2409638554217 23.5294117647059 0 0 0 0 0 0 0 0 0 0
4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6224156692057 16.0493827160494 19.4741166803615 25.7627118644068 40.1694915254237 12.6005361930295 24.9122807017544 2.25 24.0860215053763 8.53889943074004
4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.04500978473581 9.45378151260504 20.6030150753769 17.0542635658915 20.3898050974513 14.1280353200883 8.22722820763957 15.5824508320726 27.9511533242877 35.812133072407
10 1 0 0 0 0 0 0 0 0 0 0 59.8233995584989 51.7006802721088 55.3191489361702 58.7759815242494 42.3566878980892 59.9264705882353 54.9060542797495 57.0833333333333 43.1875 53.6332179930796 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24.1867043847242 28.9968652037618 40.3225806451613 32.7993254637437 68.5583261679564 28.957528957529 72.3434704830054 0 20.18779342723 21.6723549488055 0 0 0 0 0 0 0 0 0 0
4 1 16 301 27 13 67 24 19 7 16 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20.4819277108434 44.6006749156355 43.0220356768101 60.4336043360434 29.6084049665712 24.0490797546012 19.181946403385 22.8260869565217 29.3103448275862 43.3962264150943 0 0 0 0 0 0 0 0 0 0
5 1 0 0 0 0 0 0 0 0 0 0 54.7826086956522 48.3248154457695 59.1911764705882 62.3987034035656 52.247191011236 62.3389494549058 59.2267135325132 62.5450180072029 62.6193724420191 57.7174929840973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 72.5908975336893 22.4358974358974 22.2222222222222 23.2488822652757 33.3825701624815 17.4657534246575 71.7529518619437 41.2556053811659 73.4980988593156 39.117199391172 0 0 0 0 0 0 0 0 0 0
10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.69230769230769 7.92199878123096 1.80995475113122 9.82857142857143 8.94919168591224 6.54008438818565 1.47058823529412 2.60223048327138 5.26893523600439 17.4144486692015 7.69230769230769 45.3991468616697 31.5610859728507 48.5714285714286 48.7875288683603 38.6075949367089 37.6470588235294 26.0223048327138 37.980241492865 73.4980988593156 0 0 0 0 0 0 0 0 0 0
3 1 59 19 7 29 20 83 23 10 15 16 33.6244541484716 57.4257425742574 56.6343042071197 62.9383886255924 55.0074738415546 55.7244174265451 61.4097968936679 62.534435261708 40.9470752089137 62.6650660264106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34.3809523809524 36.9330453563715 30 35.4090354090354 68.5583261679564 31.5298507462687 53.5066505441354 68.3130434782609 27.7027027027027 44.8588709677419 0 0 0 0 0 0 0 0 0 0
8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20.6015037593985 44.3843843843844 20.8133971291866 54.2771599657827 20.5882352941176 29.1586998087954 42.4561403508772 70.9106728538283 19.7431781701445 22.9122055674518 0 0 0 0 0 0 0 0 0 0
5 1 19 8 15 18 16 9 12 26 11 26 57.4522292993631 65.2482269503546 50.2158273381295 60.2523659305994 64.0562248995984 61.7241379310345 61.3138686131387 56.5826330532213 45.7142857142857 64.3589743589744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20.9354120267261 10.2941176470588 33.3767926988266 23.728813559322 59.8529411764706 57.6811594202899 22.7891156462585 21.1563731931669 24.8677248677249 18.0152671755725 0 0 0 0 0 0 0 0 0 0
10 1 19 87 16 6 20 12 79 33 26 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.2926829268293 3.17693059628543 17.6470588235294 15.9509202453988 21.7252396166134 8.95140664961637 12.7319587628866 6.35939323220537 15.5653450807636 16.5794066317627
7 1 0 0 0 0 0 0 0 0 0 0 48.7399193548387 40.9961685823755 60.9725685785536 60.3543743078627 52.3460410557185 57.3008849557522 49.5121951219512 59.7938144329897 60.3174603174603 54.3859649122807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 1 10 45 49 14 3 64 24 58 23 37 49.438202247191 48.469387755102 48.4316852737905 46.4327485380117 62.8504672897196 52.75 39.875 58.2260371959943 51.1930585683297 48.1629392971246 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46.7619047619048 23.6979166666667 19.7204968944099 22.7347611202636 21.4177978883861 74.234693877551 40.3966597077244 20 35.0842418235877 25.6064690026954 0 0 0 0 0 0 0 0 0 0
7 1 0 0 0 0 0 0 0 0 0 0 36.443661971831 36.7557715674362 61.3895216400911 52.0833333333333 42.8571428571429 46.8406593406593 48.2 58.1081081081081 43.4306569343066 40.3960396039604 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1 42 40 17 10 35 37 16 263 173 170 46.875 43.3656957928803 37.2844827586207 62.5621890547264 60.9725685785536 48.7046632124352 65.9176029962547 33.5017489312087 30.5793285055958 46.8406593406593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
