# (al=0.05) r=2	5	10	15	20 (al=0.01) 2		5	10	15	20
3      0.045	0.043	0.052	0.041	0.044	     0.014	0.01	0.011	0.009	0.006	
6      0.092	0.121	0.167	0.193	0.228	     0.027	0.037	0.056	0.06	0.075
9      0.217	0.368	0.548	0.685	0.783	     0.079	0.159	0.3	0.448	0.574
12     0.457	0.729	0.947	0.993	0.999	     0.216	0.517	0.815	0.947	0.981
15     0.734	0.975	1.0	1.0	1.0	     0.505	0.883	0.997	1.0	1.0
18     0.937	1.0	1.0	1.0	1.0	     0.816	0.996	1.0	1.0	1.0
