count	ct_ht	hhsize	income	age_range
2	1@533	3	2	31-40
1	1@533	3	2	41-50
1	1@533	4	2	41-50
1	1@533	4	2	51-65
1	1@533	5	2	41-50
1	1@533	6	1	31-40
1	1@534	2	1	>65
1	1@534	2	2	41-50
1	1@534	2	2	51-65
2	1@534	3	2	41-50
1	1@534	3	2	51-65
1	1@534	4	2	31-40
1	1@535	1	1	41-50
1	1@535	1	1	>65
1	1@535	1	2	51-65
1	1@535	2	1	41-50
1	1@535	2	1	51-65
1	1@535	2	1	>65
1	1@535	2	2	31-40
1	1@535	2	2	51-65
1	1@535	3	2	31-40
1	1@535	3	2	41-50
1	1@535	3	2	51-65
1	1@535	3	2	<=30
1	1@535	4	NULL	41-50
2	1@535	4	2	31-40
1	1@535	4	2	41-50
1	1@535	4	2	<=30
1	1@535	5	NULL	31-40
1	1@535	5	2	41-50
1	1@536	1	NULL	51-65
2	1@536	1	1	>65
3	1@536	1	2	31-40
2	1@536	2	NULL	41-50
1	1@536	2	NULL	51-65
1	1@536	2	2	NULL
2	1@536	2	2	41-50
1	1@536	2	2	51-65
1	1@536	2	2	<=30
1	1@536	2	2	>65
1	1@536	3	1	31-40
1	1@536	3	1	<=30
1	1@536	3	2	41-50
2	1@536	3	2	51-65
3	1@536	4	2	31-40
1	1@536	4	2	<=30
1	1@536	5	2	NULL
1	1@536	5	2	31-40
2	1@537	2	1	51-65
2	1@537	2	1	>65
1	1@537	2	2	41-50
1	1@537	2	2	<=30
1	1@538	1	1	41-50
1	1@538	2	1	51-65
1	1@538	3	NULL	41-50
1	1@538	3	1	NULL
1	1@538	4	2	41-50
1	1@538	6	2	31-40
1	1@538	8	2	31-40
1	1@54	1	1	<=30
1	1@54	1	2	41-50
1	1@54	2	1	<=30
1	1@54	5	2	41-50
1	1@56	1	2	31-40
2	1@56	1	2	51-65
3	1@56	2	2	51-65
1	1@56	2	2	<=30
1	1@56	2	2	>65
1	1@56	3	NULL	51-65
2	1@56	3	2	41-50
1	1@56	4	2	41-50
1	1@57	1	1	51-65
1	1@57	1	1	>65
1	1@57	1	2	41-50
1	1@57	1	2	51-65
1	1@57	2	NULL	>65
1	1@57	2	1	>65
2	1@57	2	2	31-40
1	1@57	2	2	41-50
4	1@57	2	2	51-65
1	1@57	2	2	>65
2	1@57	3	2	31-40
1	1@57	4	2	31-40
2	1@57	4	2	41-50
1	1@57	5	2	41-50
1	1@57	5	2	>65
1	1@58	1	NULL	>65
1	1@58	1	2	41-50
1	1@58	1	2	51-65
1	1@58	1	2	>65
1	1@58	2	2	31-40
1	1@58	2	2	41-50
1	1@58	2	2	51-65
1	1@58	2	2	<=30
1	1@58	4	2	41-50
1	1@59	1	NULL	51-65
1	1@59	1	1	51-65
1	1@59	2	2	31-40
2	1@59	2	2	41-50
1	1@59	2	2	51-65
2	1@59	2	2	>65
1	1@59	3	2	41-50
1	1@6	1	1	<=30
1	1@6	1	1	>65
1	1@6	1	2	41-50
1	1@6	2	NULL	>65
2	1@6	2	2	31-40
2	1@6	2	2	41-50
3	1@6	2	2	51-65
1	1@6	3	2	31-40
1	1@6	3	2	41-50
1	1@6	3	2	51-65
1	1@6	4	NULL	31-40
1	1@6	4	2	<=30
1	1@6	5	2	31-40
1	1@6	7	NULL	31-40
1	1@6	7	2	41-50
1	1@60	1	1	>65
1	1@60	2	NULL	31-40
1	1@60	2	2	31-40
1	1@60	2	2	51-65
1	1@60	2	2	>65
1	1@60	3	NULL	41-50
1	1@60	3	2	31-40
1	1@60	3	2	51-65
1	1@601	1	2	51-65
1	1@603	1	NULL	>65
2	1@603	1	1	>65
1	1@603	1	2	>65
1	1@603	2	1	>65
1	1@603	2	2	41-50
2	1@603	2	2	51-65
1	1@603	2	2	<=30
1	1@603	3	2	41-50
1	1@603	4	2	41-50
1	1@604	1	1	>65
1	1@604	1	2	31-40
1	1@604	2	1	51-65
2	1@604	2	2	41-50
4	1@604	2	2	51-65
1	1@604	2	2	<=30
1	1@604	3	NULL	51-65
1	1@604	3	2	31-40
1	1@604	3	2	41-50
1	1@604	3	2	51-65
1	1@604	4	1	41-50
1	1@604	4	2	31-40
2	1@605	1	1	>65
1	1@605	1	2	31-40
1	1@605	2	1	>65
2	1@605	2	2	31-40
3	1@605	2	2	41-50
3	1@605	2	2	51-65
1	1@605	2	2	>65
1	1@605	3	1	41-50
1	1@605	3	2	<=30
1	1@605	4	2	31-40
1	1@605	4	2	41-50
1	1@605	4	2	51-65
1	1@605	5	2	41-50
3	1@606	1	1	>65
1	1@606	1	2	31-40
5	1@606	2	2	51-65
1	1@606	3	2	31-40
3	1@606	3	2	41-50
1	1@607	1	1	31-40
1	1@607	1	1	>65
1	1@607	1	2	41-50
1	1@607	2	NULL	51-65
1	1@607	2	1	>65
1	1@607	2	2	41-50
1	1@607	3	1	51-65
3	1@607	3	2	31-40
1	1@607	3	2	41-50
2	1@607	3	2	51-65
1	1@607	4	2	51-65
1	1@607	5	1	41-50
1	1@608	1	1	51-65
1	1@608	1	2	41-50
1	1@608	1	2	>65
1	1@608	2	NULL	51-65
1	1@608	2	1	>65
2	1@608	2	2	31-40
1	1@608	2	2	41-50
1	1@608	2	2	>65
1	1@608	3	2	31-40
1	1@608	3	2	41-50
1	1@608	4	2	41-50
1	1@608	9	2	31-40
2	1@609	1	NULL	>65
1	1@609	1	1	51-65
2	1@609	1	2	51-65
1	1@609	1	2	<=30
3	1@609	1	2	>65
1	1@609	2	NULL	41-50
1	1@609	2	NULL	>65
1	1@609	2	1	41-50
1	1@609	2	1	51-65
2	1@609	2	1	>65
3	1@609	2	2	41-50
2	1@609	2	2	51-65
2	1@609	2	2	>65
1	1@609	3	1	31-40
1	1@609	3	1	41-50
2	1@609	3	2	51-65
3	1@609	4	2	31-40
3	1@609	4	2	41-50
1	1@609	4	2	<=30
1	1@609	4	2	>65
2	1@609	5	2	31-40
1	1@609	6	2	31-40
1	1@61	1	2	51-65
1	1@61	2	2	31-40
1	1@61	3	1	<=30
1	1@61	4	2	51-65
1	1@610	1	NULL	>65
1	1@610	1	2	51-65
1	1@610	1	2	>65
4	1@610	2	2	31-40
1	1@610	2	2	41-50
1	1@610	2	2	51-65
1	1@610	2	2	>65
1	1@610	3	2	41-50
1	1@610	4	2	51-65
1	1@610	5	2	31-40
1	1@610	5	2	41-50
2	1@611	1	1	>65
1	1@611	1	2	51-65
1	1@611	2	2	41-50
2	1@611	3	2	41-50
1	1@611	3	2	<=30
2	1@611	4	2	31-40
1	1@611	8	1	<=30
1	1@612	1	1	31-40
1	1@612	1	1	<=30
2	1@612	2	2	51-65
1	1@612	2	2	<=30
1	1@612	3	1	>65
1	1@612	3	2	31-40
1	1@612	6	2	31-40
1	1@613	2	2	51-65
1	1@613	3	1	31-40
1	1@613	5	1	41-50
1	1@613	6	1	51-65
1	1@614	2	1	31-40
1	1@615	2	2	31-40
1	1@615	3	2	51-65
1	1@616	1	1	>65
1	1@617	2	1	41-50
1	1@617	2	2	31-40
1	1@617	3	1	41-50
1	1@617	5	2	31-40
1	1@62	1	NULL	31-40
1	1@62	1	1	41-50
2	1@62	1	2	41-50
2	1@62	1	2	51-65
1	1@62	1	2	>65
1	1@62	2	2	51-65
3	1@62	3	2	41-50
2	1@62	3	2	51-65
1	1@62	4	2	41-50
1	1@62	6	2	41-50
1	1@620	3	2	41-50
1	1@620	4	1	41-50
1	1@620	4	2	41-50
1	1@620	5	1	<=30
1	1@620	6	2	31-40
1	1@621	1	NULL	51-65
1	1@621	2	1	51-65
1	1@621	5	2	31-40
1	1@623	2	2	41-50
3	1@623	2	2	51-65
1	1@623	3	2	31-40
1	1@623	3	2	51-65
1	1@623	4	1	31-40
1	1@623	5	2	41-50
1	1@624	2	1	51-65
1	1@624	4	2	41-50
1	1@626	2	NULL	51-65
1	1@626	2	1	41-50
1	1@626	2	2	51-65
1	1@628	1	2	<=30
1	1@628	2	1	51-65
1	1@628	4	1	<=30
1	1@628	5	2	51-65
1	1@628	5	2	<=30
1	1@629	1	NULL	>65
2	1@629	1	1	41-50
1	1@629	2	2	41-50
1	1@629	3	1	51-65
1	1@629	3	2	31-40
1	1@629	3	2	41-50
1	1@63	1	2	51-65
1	1@63	1	2	>65
1	1@63	2	NULL	>65
2	1@63	2	2	51-65
1	1@63	2	2	<=30
1	1@63	3	2	41-50
2	1@63	3	2	51-65
2	1@630	3	2	31-40
1	1@630	5	2	<=30
1	1@631	3	2	31-40
2	1@632	1	1	51-65
1	1@632	1	1	>65
1	1@632	2	2	<=30
1	1@632	4	1	31-40
1	1@632	4	2	41-50
1	1@633	1	1	41-50
1	1@633	1	1	>65
1	1@633	1	2	>65
1	1@633	2	2	31-40
1	1@633	2	2	51-65
1	1@634	1	2	31-40
1	1@634	3	1	31-40
1	1@634	3	2	51-65
2	1@634	5	2	31-40
1	1@634	6	1	31-40
1	1@635	1	1	31-40
1	1@635	1	1	>65
1	1@635	1	2	41-50
1	1@635	2	1	51-65
1	1@635	2	2	51-65
1	1@635	3	2	41-50
1	1@635	5	2	41-50
1	1@64	1	1	51-65
3	1@64	1	2	51-65
1	1@64	2	1	51-65
1	1@64	2	2	31-40
1	1@64	2	2	41-50
3	1@64	2	2	51-65
1	1@64	2	2	<=30
2	1@64	2	2	>65
1	1@64	3	2	31-40
2	1@64	3	2	41-50
3	1@64	3	2	51-65
1	1@64	4	2	NULL
1	1@64	4	2	41-50
1	1@65	1	2	31-40
1	1@65	2	NULL	>65
1	1@65	2	2	<=30
1	1@66	1	1	31-40
1	1@66	1	2	41-50
1	1@66	2	2	>65
1	1@66	3	1	51-65
1	1@67	1	NULL	>65
1	1@67	2	2	51-65
1	1@68	1	2	41-50
1	1@68	2	2	41-50
1	1@68	2	2	51-65
1	1@68	3	1	31-40
1	1@68	3	2	41-50
1	1@68	4	1	<=30
1	1@68	4	2	41-50
1	1@68	5	2	31-40
1	1@68	5	2	41-50
1	1@69	1	1	51-65
1	1@69	1	1	>65
2	1@69	1	2	31-40
1	1@69	2	NULL	41-50
1	1@69	2	2	NULL
2	1@69	4	2	41-50
1	1@7	1	NULL	51-65
1	1@7	1	2	51-65
1	1@7	2	NULL	41-50
1	1@7	2	2	31-40
1	1@7	2	2	<=30
1	1@70	2	2	51-65
1	1@702	1	1	51-65
1	1@702	2	NULL	51-65
1	1@702	2	1	51-65
1	1@702	2	1	>65
1	1@702	2	2	31-40
1	1@702	2	2	41-50
1	1@702	2	2	51-65
1	1@702	3	NULL	31-40
2	1@702	3	2	41-50
1	1@702	4	NULL	31-40
1	1@702	5	NULL	31-40
1	1@702	5	2	31-40
1	1@703	1	1	51-65
3	1@703	1	1	>65
2	1@703	1	2	31-40
1	1@703	1	2	51-65
1	1@703	2	NULL	31-40
2	1@703	2	NULL	51-65
1	1@703	2	1	NULL
1	1@703	2	1	41-50
4	1@703	2	2	41-50
6	1@703	2	2	51-65
1	1@703	3	2	NULL
3	1@703	3	2	31-40
3	1@703	3	2	41-50
1	1@703	3	2	51-65
5	1@703	4	2	31-40
6	1@703	4	2	41-50
1	1@703	4	2	<=30
3	1@703	5	2	31-40
2	1@703	5	2	41-50
1	1@704	1	1	31-40
1	1@704	2	2	>65
2	1@704	3	2	<=30
1	1@704	4	2	31-40
2	1@704	4	2	41-50
1	1@705	1	1	>65
1	1@707	1	NULL	>65
1	1@707	1	1	>65
1	1@707	2	NULL	51-65
1	1@707	2	1	31-40
1	1@707	2	1	51-65
1	1@707	2	1	>65
2	1@707	2	2	41-50
1	1@707	2	2	51-65
2	1@707	2	2	>65
2	1@707	3	2	41-50
3	1@707	3	2	51-65
2	1@707	3	2	<=30
1	1@707	4	2	31-40
2	1@707	4	2	41-50
1	1@707	4	2	51-65
1	1@709	2	2	51-65
1	1@709	4	2	41-50
2	1@710	2	1	51-65
2	1@710	2	2	41-50
2	1@710	2	2	>65
1	1@710	3	2	41-50
1	1@710	3	2	51-65
1	1@710	4	2	41-50
1	1@710	5	2	41-50
1	1@710	6	2	41-50
1	1@711	1	2	>65
1	1@711	2	1	>65
1	1@711	2	2	51-65
1	1@711	3	2	51-65
1	1@711	5	2	31-40
2	1@712	1	1	>65
1	1@712	1	2	51-65
3	1@712	2	1	51-65
2	1@712	2	1	>65
1	1@712	2	2	31-40
4	1@712	2	2	41-50
10	1@712	2	2	51-65
3	1@712	2	2	>65
1	1@712	3	NULL	41-50
1	1@712	3	NULL	51-65
3	1@712	3	1	51-65
2	1@712	3	2	31-40
2	1@712	3	2	41-50
1	1@712	3	2	51-65
1	1@712	3	2	>65
6	1@712	4	2	31-40
1	1@712	4	2	41-50
1	1@712	5	NULL	41-50
1	1@712	5	2	31-40
1	1@712	5	2	41-50
1	1@713	1	NULL	51-65
1	1@713	1	NULL	>65
2	1@713	1	1	51-65
1	1@713	1	1	>65
1	1@713	1	2	41-50
1	1@713	2	NULL	>65
2	1@713	2	1	51-65
1	1@713	2	2	41-50
2	1@713	2	2	51-65
1	1@713	2	2	>65
1	1@713	3	1	31-40
1	1@713	3	2	NULL
4	1@713	3	2	31-40
2	1@713	3	2	51-65
1	1@713	3	2	<=30
1	1@713	3	2	>65
1	1@713	4	NULL	31-40
1	1@713	4	1	31-40
4	1@713	4	2	31-40
5	1@713	4	2	41-50
1	1@713	5	2	31-40
1	1@713	6	2	51-65
1	1@714	1	NULL	51-65
2	1@714	1	1	51-65
1	1@714	1	2	41-50
1	1@714	1	2	51-65
1	1@714	2	NULL	51-65
2	1@714	2	1	51-65
1	1@714	2	1	>65
3	1@714	2	2	41-50
3	1@714	2	2	51-65
1	1@714	2	2	>65
1	1@714	3	1	31-40
1	1@714	3	1	41-50
2	1@714	3	2	31-40
1	1@714	3	2	41-50
1	1@714	3	2	51-65
1	1@714	4	NULL	51-65
1	1@714	4	1	31-40
1	1@714	4	2	31-40
1	1@714	4	2	41-50
1	1@714	4	2	<=30
1	1@714	5	2	41-50
2	1@715	1	NULL	51-65
1	1@715	1	1	>65
1	1@715	1	2	51-65
2	1@715	1	2	>65
1	1@715	2	1	51-65
2	1@715	2	1	>65
1	1@715	2	2	51-65
1	1@715	2	2	>65
1	1@715	3	2	41-50
2	1@715	3	2	51-65
1	1@715	4	NULL	NULL
1	1@715	4	1	31-40
1	1@715	4	1	41-50
1	1@715	4	2	31-40
1	1@715	4	2	41-50
1	1@715	4	2	51-65
1	1@715	5	2	51-65
1	1@715	6	2	<=30
1	1@715	9	2	31-40
3	1@716	2	1	>65
1	1@716	2	2	31-40
1	1@716	2	2	>65
1	1@716	4	2	51-65
1	1@716	5	1	<=30
1	1@716	5	2	31-40
1	1@716	6	1	41-50
1	1@717	1	1	41-50
1	1@717	1	1	>65
1	1@717	2	1	>65
1	1@717	2	2	41-50
1	1@717	2	2	51-65
1	1@717	3	NULL	41-50
1	1@717	3	2	31-40
2	1@717	3	2	<=30
1	1@717	4	2	31-40
2	1@717	5	2	<=30
1	1@718	1	NULL	>65
1	1@718	1	1	31-40
1	1@718	1	1	>65
2	1@718	1	2	51-65
1	1@718	2	NULL	>65
1	1@718	2	1	>65
1	1@718	2	2	NULL
2	1@718	2	2	41-50
1	1@718	2	2	>65
1	1@718	3	1	>65
1	1@718	3	2	31-40
1	1@718	3	2	41-50
1	1@718	3	2	51-65
1	1@718	4	2	31-40
1	1@718	5	2	31-40
1	1@718	6	2	41-50
1	1@719	1	NULL	51-65
1	1@719	1	NULL	>65
1	1@719	1	1	>65
1	1@719	1	2	31-40
1	1@719	1	2	>65
1	1@719	2	NULL	41-50
1	1@719	2	NULL	51-65
2	1@719	2	1	41-50
1	1@719	2	1	51-65
1	1@719	2	2	31-40
3	1@719	2	2	51-65
5	1@719	2	2	>65
1	1@719	3	2	51-65
1	1@719	3	2	>65
3	1@719	4	2	31-40
1	1@720	2	1	>65
1	1@721	1	NULL	51-65
1	1@721	1	NULL	>65
1	1@721	1	1	31-40
1	1@721	1	1	51-65
2	1@721	1	1	>65
1	1@721	1	2	31-40
2	1@721	1	2	51-65
1	1@721	2	NULL	51-65
1	1@721	2	1	41-50
1	1@721	2	1	<=30
2	1@721	2	1	>65
1	1@721	2	2	NULL
2	1@721	2	2	41-50
17	1@721	2	2	51-65
10	1@721	2	2	>65
1	1@721	3	2	31-40
2	1@721	3	2	41-50
2	1@721	3	2	51-65
1	1@721	3	2	<=30
1	1@721	3	2	>65
5	1@721	4	2	31-40
3	1@721	4	2	41-50
1	1@721	4	2	<=30
1	1@721	5	1	<=30
1	1@721	5	2	41-50
1	1@723	1	NULL	51-65
1	1@723	1	NULL	>65
3	1@723	1	1	51-65
2	1@723	1	1	>65
1	1@723	1	2	31-40
1	1@723	1	2	51-65
1	1@723	1	2	<=30
1	1@723	2	NULL	41-50
2	1@723	2	NULL	51-65
1	1@723	2	NULL	>65
5	1@723	2	1	51-65
1	1@723	2	2	NULL
2	1@723	2	2	31-40
5	1@723	2	2	41-50
7	1@723	2	2	51-65
7	1@723	2	2	>65
1	1@723	3	NULL	31-40
1	1@723	3	1	41-50
1	1@723	3	1	>65
3	1@723	3	2	31-40
3	1@723	3	2	41-50
1	1@723	3	2	51-65
3	1@723	3	2	<=30
1	1@723	4	NULL	31-40
1	1@723	4	1	51-65
7	1@723	4	2	31-40
2	1@723	4	2	41-50
1	1@723	4	2	51-65
1	1@723	4	2	<=30
2	1@723	5	2	31-40
1	1@723	5	2	>65
2	1@723	6	2	31-40
1	1@723	6	2	51-65
1	1@724	1	1	51-65
1	1@724	1	1	<=30
6	1@724	1	2	51-65
2	1@724	1	2	>65
1	1@724	2	NULL	>65
1	1@724	2	1	51-65
2	1@724	2	1	>65
3	1@724	2	2	41-50
11	1@724	2	2	51-65
2	1@724	2	2	>65
1	1@724	3	NULL	>65
2	1@724	3	1	41-50
2	1@724	3	2	31-40
4	1@724	3	2	41-50
3	1@724	3	2	51-65
1	1@724	3	2	<=30
1	1@724	4	NULL	NULL
1	1@724	4	NULL	31-40
1	1@724	4	1	41-50
7	1@724	4	2	31-40
3	1@724	4	2	41-50
2	1@724	4	2	<=30
1	1@724	5	2	31-40
4	1@724	5	2	41-50
1	1@724	5	2	51-65
1	1@724	6	2	31-40
2	1@724	6	2	41-50
1	1@725	1	NULL	NULL
1	1@725	1	NULL	51-65
1	1@725	1	1	41-50
1	1@725	1	1	>65
2	1@725	1	2	51-65
1	1@725	1	2	>65
1	1@725	2	NULL	51-65
1	1@725	2	NULL	>65
2	1@725	2	1	31-40
1	1@725	2	1	41-50
2	1@725	2	2	41-50
3	1@725	2	2	51-65
1	1@725	3	1	31-40
2	1@725	3	1	41-50
4	1@725	3	2	41-50
1	1@725	3	2	51-65
1	1@725	4	NULL	31-40
1	1@725	4	1	31-40
1	1@725	5	2	41-50
1	1@725	5	2	<=30
1	1@725	6	2	41-50
1	1@726	1	NULL	51-65
1	1@726	1	1	51-65
5	1@726	1	1	>65
1	1@726	1	2	>65
1	1@726	2	NULL	51-65
2	1@726	2	1	41-50
1	1@726	2	2	31-40
2	1@726	2	2	41-50
2	1@726	2	2	51-65
1	1@726	2	2	>65
4	1@726	3	2	41-50
1	1@726	3	2	<=30
1	1@726	4	1	<=30
4	1@726	4	2	31-40
3	1@726	4	2	41-50
1	1@726	4	2	51-65
2	1@726	4	2	<=30
2	1@726	5	2	41-50
1	1@727	4	2	31-40
1	1@729	4	2	41-50
1	1@729	5	1	<=30
1	1@730	1	1	51-65
1	1@730	1	2	51-65
1	1@730	2	1	41-50
1	1@730	2	1	>65
1	1@730	2	2	31-40
1	1@730	2	2	51-65
1	1@730	2	2	>65
1	1@730	3	1	31-40
1	1@730	4	2	31-40
1	1@730	4	2	41-50
1	1@731	1	NULL	51-65
1	1@731	1	1	31-40
2	1@731	1	1	51-65
1	1@731	1	1	<=30
2	1@731	1	1	>65
1	1@731	1	2	31-40
1	1@731	1	2	41-50
2	1@731	1	2	51-65
1	1@731	2	NULL	31-40
1	1@731	2	NULL	51-65
4	1@731	2	1	41-50
2	1@731	2	1	51-65
1	1@731	2	1	>65
1	1@731	2	2	31-40
3	1@731	2	2	41-50
5	1@731	2	2	51-65
1	1@731	2	2	<=30
1	1@731	3	NULL	NULL
1	1@731	3	NULL	41-50
1	1@731	3	1	31-40
6	1@731	3	2	31-40
1	1@731	3	2	41-50
3	1@731	3	2	51-65
2	1@731	3	2	<=30
1	1@731	4	1	31-40
2	1@731	4	1	41-50
1	1@731	4	1	51-65
3	1@731	4	2	31-40
8	1@731	4	2	41-50
1	1@731	4	2	51-65
2	1@731	4	2	<=30
1	1@731	5	1	41-50
5	1@731	5	2	31-40
3	1@731	5	2	41-50
1	1@731	7	1	>65
1	1@733	1	1	51-65
2	1@733	1	1	>65
1	1@733	1	2	51-65
1	1@733	2	NULL	>65
1	1@733	2	2	41-50
1	1@733	2	2	>65
1	1@733	3	2	51-65
1	1@733	4	2	41-50
1	1@733	4	2	<=30
1	1@733	5	2	41-50
1	1@733	5	2	51-65
1	1@733	8	2	41-50
1	1@734	1	NULL	41-50
1	1@734	1	1	41-50
1	1@734	1	1	51-65
4	1@734	1	1	>65
2	1@734	1	2	51-65
1	1@734	2	NULL	>65
1	1@734	2	1	>65
1	1@734	2	2	31-40
2	1@734	2	2	41-50
8	1@734	2	2	51-65
2	1@734	2	2	>65
1	1@734	3	NULL	51-65
1	1@734	3	2	31-40
4	1@734	3	2	41-50
2	1@734	3	2	51-65
1	1@734	3	2	>65
1	1@734	4	NULL	31-40
2	1@734	4	2	31-40
3	1@734	4	2	41-50
1	1@734	4	2	51-65
2	1@734	5	2	31-40
1	1@734	7	2	31-40
2	1@75	1	2	31-40
1	1@76	2	2	41-50
1	1@76	2	2	<=30
1	1@76	3	2	31-40
1	1@77	1	1	31-40
1	1@77	1	1	>65
3	1@77	1	2	41-50
1	1@77	1	2	51-65
1	1@77	1	2	>65
1	1@77	2	1	41-50
1	1@77	3	2	31-40
1	1@78	1	1	51-65
1	1@78	1	2	41-50
1	1@78	1	2	51-65
1	1@78	1	2	>65
1	1@78	2	NULL	41-50
1	1@78	2	2	31-40
1	1@78	2	2	41-50
6	1@78	2	2	51-65
1	1@78	3	2	41-50
1	1@78	3	2	51-65
1	1@78	4	2	31-40
2	1@78	4	2	51-65
1	1@78	6	2	31-40
1	1@79	1	1	31-40
2	1@8	1	1	>65
1	1@8	1	2	>65
1	1@8	2	2	NULL
1	1@8	2	2	31-40
1	1@8	2	2	51-65
1	1@8	2	2	<=30
1	1@8	2	2	>65
1	1@8	4	2	<=30
1	1@8	5	2	31-40
1	1@801	1	1	>65
1	1@801	1	2	41-50
1	1@801	1	2	51-65
2	1@801	2	1	41-50
3	1@801	2	1	>65
2	1@801	2	2	31-40
1	1@801	2	2	<=30
2	1@801	2	2	>65
1	1@801	3	2	<=30
1	1@801	4	2	<=30
1	1@801	5	2	41-50
1	1@802	1	2	31-40
1	1@802	1	2	51-65
1	1@802	2	1	51-65
1	1@802	2	2	51-65
2	1@802	3	1	31-40
2	1@802	4	2	41-50
1	1@803	1	2	>65
1	1@803	2	2	51-65
1	1@803	3	1	31-40
1	1@803	4	1	41-50
1	1@804	1	1	>65
2	1@804	2	2	51-65
1	1@804	3	2	41-50
2	1@804	3	2	51-65
1	1@804	4	1	41-50
2	1@804	4	2	31-40
1	1@805	1	2	51-65
1	1@806	1	NULL	51-65
1	1@806	1	1	>65
1	1@806	1	2	41-50
1	1@806	2	NULL	31-40
1	1@806	2	NULL	>65
1	1@806	2	1	31-40
1	1@806	2	1	<=30
2	1@806	2	1	>65
1	1@806	3	1	<=30
1	1@806	3	2	51-65
1	1@806	4	NULL	31-40
1	1@806	4	1	41-50
1	1@807	1	1	<=30
1	1@807	1	2	41-50
2	1@807	2	2	51-65
1	1@807	2	2	>65
1	1@807	3	2	51-65
3	1@807	4	2	31-40
1	1@809	1	2	51-65
2	1@809	2	1	51-65
1	1@809	2	2	31-40
2	1@809	2	2	51-65
1	1@809	2	2	>65
1	1@809	4	1	<=30
1	1@81	3	2	31-40
1	1@810	1	1	<=30
1	1@810	3	2	31-40
1	1@810	5	2	31-40
1	1@810	6	1	31-40
1	1@811	1	1	>65
1	1@811	2	1	51-65
1	1@811	3	2	>65
1	1@812	1	2	51-65
1	1@812	6	1	41-50
1	1@84	1	2	51-65
1	1@87	2	2	41-50
1	1@87	4	2	<=30
1	1@88	1	1	>65
1	1@88	1	2	<=30
1	1@88	4	2	31-40
1	1@89	1	1	51-65
1	1@89	1	2	51-65
1	1@89	1	2	>65
3	1@89	3	2	31-40
1	1@9	1	1	51-65
1	1@9	1	1	>65
1	1@9	1	2	51-65
1	1@9	2	1	51-65
1	1@9	3	2	<=30
1	1@9	4	2	41-50
1	1@90	5	2	31-40
1	1@90	5	2	41-50
1	1@901	1	1	31-40
1	1@901	1	1	41-50
2	1@901	1	1	51-65
1	1@901	2	1	31-40
1	1@901	2	2	41-50
7	1@901	2	2	51-65
3	1@901	2	2	>65
1	1@901	3	1	41-50
1	1@901	3	2	31-40
3	1@901	3	2	41-50
1	1@901	3	2	<=30
1	1@901	3	2	>65
1	1@901	4	2	41-50
1	1@901	4	2	51-65
2	1@901	5	2	31-40
1	1@901	7	NULL	31-40
1	1@902	1	1	>65
1	1@902	1	2	41-50
1	1@902	1	2	51-65
2	1@902	1	2	>65
4	1@902	2	1	51-65
2	1@902	2	1	>65
1	1@902	2	2	31-40
2	1@902	2	2	41-50
5	1@902	2	2	51-65
3	1@902	2	2	>65
1	1@902	3	NULL	41-50
1	1@902	3	2	31-40
1	1@902	3	2	41-50
1	1@902	3	2	51-65
1	1@902	3	2	<=30
1	1@902	4	NULL	41-50
1	1@902	4	2	31-40
2	1@902	4	2	41-50
2	1@902	4	2	51-65
1	1@902	6	1	31-40
1	1@902	7	2	51-65
1	1@903	3	2	51-65
1	1@904	1	1	>65
1	1@904	2	2	41-50
1	1@904	2	2	51-65
1	1@904	3	2	31-40
1	1@904	4	2	41-50
1	1@904	4	2	51-65
1	1@904	4	2	<=30
1	1@905	1	1	41-50
1	1@905	1	1	51-65
2	1@905	1	1	>65
1	1@905	1	2	41-50
2	1@905	1	2	51-65
1	1@905	2	2	41-50
1	1@905	2	2	51-65
1	1@905	3	2	<=30
1	1@905	4	2	31-40
1	1@905	4	2	41-50
1	1@905	4	2	51-65
1	1@906	1	2	41-50
1	1@906	1	2	51-65
1	1@906	2	NULL	41-50
1	1@906	2	1	41-50
2	1@906	2	2	41-50
3	1@906	2	2	51-65
1	1@906	3	2	41-50
3	1@906	3	2	51-65
1	1@906	4	1	31-40
4	1@906	4	2	31-40
1	1@906	4	2	41-50
1	1@906	5	2	41-50
1	1@907	2	1	31-40
1	1@907	2	1	41-50
1	1@907	2	1	>65
1	1@907	2	2	31-40
5	1@907	2	2	51-65
2	1@907	3	2	41-50
1	1@907	4	2	31-40
1	1@907	5	2	NULL
1	1@907	5	2	41-50
1	1@908	1	2	41-50
1	1@908	2	NULL	41-50
1	1@908	2	1	31-40
1	1@908	2	1	51-65
1	1@908	2	2	31-40
2	1@908	2	2	41-50
3	1@908	2	2	51-65
1	1@908	2	2	>65
1	1@908	4	2	31-40
1	1@908	4	2	41-50
1	1@909	1	1	>65
2	1@909	1	2	51-65
1	1@909	1	2	>65
2	1@909	2	2	51-65
1	1@909	2	2	<=30
1	1@909	2	2	>65
1	1@909	3	2	>65
3	1@909	4	2	31-40
1	1@909	4	2	41-50
1	1@909	5	1	31-40
1	1@910	1	1	51-65
2	1@910	1	1	>65
1	1@910	1	2	31-40
1	1@910	1	2	51-65
1	1@910	1	2	>65
1	1@910	2	1	51-65
1	1@910	2	2	41-50
3	1@910	2	2	51-65
1	1@910	2	2	>65
1	1@910	3	2	41-50
1	1@910	4	NULL	31-40
2	1@910	4	2	41-50
1	1@910	4	2	<=30
1	1@910	5	2	41-50
