hhsize	income	age_range	restype_1	restype_2	restype_4	restype_8
1	NULL	NULL	6	2	2	2
1	NULL	31-40	11	3	5	0
1	NULL	41-50	6	1	2	0
1	NULL	51-65	30	5	5	2
1	NULL	<=30	1	0	5	0
1	NULL	>65	36	1	5	1
1	1	NULL	5	1	3	2
1	1	31-40	22	8	43	4
1	1	41-50	36	18	43	6
1	1	51-65	73	24	48	18
1	1	<=30	22	11	61	1
1	1	>65	171	37	68	48
1	2	NULL	3	1	2	0
1	2	31-40	73	32	34	3
1	2	41-50	101	31	31	6
1	2	51-65	142	33	21	6
1	2	<=30	21	8	28	1
1	2	>65	74	24	14	7
2	NULL	NULL	3	0	1	0
2	NULL	31-40	15	2	1	0
2	NULL	41-50	25	1	2	1
2	NULL	51-65	53	4	1	2
2	NULL	<=30	3	0	6	0
2	NULL	>65	54	6	1	1
2	1	NULL	4	0	3	0
2	1	31-40	21	4	12	4
2	1	41-50	40	10	14	6
2	1	51-65	75	4	13	10
2	1	<=30	12	9	30	2
2	1	>65	132	14	9	10
2	2	NULL	18	0	0	0
2	2	31-40	140	16	19	8
2	2	41-50	274	22	15	9
2	2	51-65	526	23	8	11
2	2	<=30	72	13	55	3
2	2	>65	218	29	5	12
3	NULL	NULL	3	0	0	1
3	NULL	31-40	10	1	0	1
3	NULL	41-50	13	0	0	1
3	NULL	51-65	19	1	0	1
3	NULL	<=30	3	0	3	2
3	NULL	>65	9	0	0	0
3	1	NULL	1	0	1	0
3	1	31-40	29	2	9	4
3	1	41-50	27	4	4	2
3	1	51-65	18	0	3	1
3	1	<=30	13	5	22	3
3	1	>65	8	0	0	2
3	2	NULL	9	0	0	1
3	2	31-40	196	10	11	7
3	2	41-50	232	7	6	4
3	2	51-65	166	6	1	3
3	2	<=30	75	4	14	1
3	2	>65	30	0	0	1
4	NULL	NULL	3	0	0	0
4	NULL	31-40	24	1	0	0
4	NULL	41-50	15	0	0	0
4	NULL	51-65	10	0	0	0
4	NULL	<=30	1	0	1	1
4	NULL	>65	0	0	1	0
4	1	NULL	1	1	0	0
4	1	31-40	21	1	8	3
4	1	41-50	22	1	1	1
4	1	51-65	6	0	0	1
4	1	<=30	10	2	5	0
4	1	>65	1	0	0	0
4	2	NULL	9	0	0	0
4	2	31-40	271	5	5	5
4	2	41-50	313	1	1	4
4	2	51-65	64	4	1	0
4	2	<=30	57	0	3	1
4	2	>65	2	0	0	0
5	NULL	31-40	8	0	0	0
5	NULL	41-50	4	0	0	0
5	NULL	51-65	1	0	0	0
5	1	NULL	0	0	1	0
5	1	31-40	4	3	1	1
5	1	41-50	7	0	0	1
5	1	51-65	1	0	0	0
5	1	<=30	5	0	1	2
5	2	NULL	7	0	0	0
5	2	31-40	112	2	3	4
5	2	41-50	97	0	2	3
5	2	51-65	15	0	1	0
5	2	<=30	16	0	0	0
5	2	>65	3	0	0	0
6	NULL	NULL	1	0	0	0
6	NULL	51-65	1	0	0	0
6	1	31-40	4	1	0	0
6	1	41-50	5	0	0	0
6	1	51-65	1	0	0	0
6	1	<=30	1	0	0	0
6	2	NULL	1	0	0	0
6	2	31-40	31	0	2	0
6	2	41-50	14	0	0	1
6	2	51-65	4	0	0	0
6	2	<=30	3	0	1	0
6	2	>65	1	0	0	0
7	NULL	31-40	3	0	0	0
7	1	NULL	3	0	0	0
7	1	31-40	1	0	0	0
7	1	<=30	0	0	1	0
7	1	>65	1	0	0	0
7	2	NULL	1	0	0	0
7	2	31-40	6	0	0	2
7	2	41-50	4	0	0	0
7	2	51-65	1	0	0	0
7	2	<=30	2	0	0	0
8	1	<=30	1	0	0	0
8	2	NULL	1	0	0	0
8	2	31-40	3	0	0	0
8	2	41-50	4	0	0	0
8	2	<=30	1	0	0	0
9	1	NULL	1	0	0	0
9	2	NULL	1	0	0	0
9	2	31-40	2	0	0	0
10	2	31-40	1	0	0	0
10	2	41-50	1	0	0	0
