5000581,2,1273215.87,200052.93
5000582,1,1194976.73,209178.62
5000631,2,1182737.37,245216.01
5000645,1,1212949.25,302295.40
5000649,1,1194976.73,209178.62
5000649,2,1194976.73,209178.62
5000668,1,1198039.12,218842.37
5000668,2,1188066.77,251682.44
5000673,2,1181859.75,245550.84
5000673,1,1175300.83,263579.47
5000720,2,1194976.73,209178.62
5000720,1,1194976.73,209178.62
5000751,1,1231557.49,295234.87
5000751,2,1269609.67,224832.98
5000758,1,1319280.53,215585.77
5000883,1,1238177.39,99001.24
5000883,2,,
5000895,1,1270792.62,222108.41
5000895,2,1198175.62,217220.53
5000916,1,1187334.68,212630.12
5000916,2,1181122.36,213976.58
5000971,2,1194976.73,209178.62
5000981,2,1191434.12,217847.18
5000981,3,1182354.36,242751.65
5000981,1,1194976.73,209178.62
5001030,1,1267506.08,228366.69
5001041,1,1169822.87,192863.87
5001049,1,1267099.75,284118.84
5001096,2,,
5001096,1,1196402.36,272487.42
5001114,1,1272982.91,108023.32
5001114,3,1265591.13,227661.26
5001137,1,1175925.36,265453.05
5001149,2,1199994.75,249950.95
5001149,1,1177816.09,261936.83
5001177,1,1223039.39,240643.65
5001212,2,1195910.39,275044.20
5001213,2,1195364.75,235505.29
5001232,2,,
5001259,1,1271050.23,306297.85
5001259,2,1201458.91,213826.47
5001285,2,1271166.37,212040.73
5001347,2,1175925.36,265453.05
5001356,1,1278263.53,165157.46
5001367,3,1184561.50,246396.04
5001367,1,1194976.73,209178.62
5001428,3,1183564.87,245989.15
5001497,2,1268638.75,225208.84
5001497,1,1218257.72,252488.00
5001502,2,1204846.12,122585.80
5001522,2,1194976.73,209178.62
5001545,1,1273134.12,200317.31
5001603,1,1184654.53,205219.35
5001603,2,1194976.73,209178.62
5001604,2,1187667.62,241431.18
5001604,1,1187667.62,241431.18
5001642,1,1181244.37,241560.62
5001642,2,1191489.25,208893.64
5001694,1,1273928.70,301786.55
5001721,2,1175658.00,245476.39
5001758,2,1270566.08,224717.05
5001774,1,1225046.75,232350.82
5001774,6,,
5001797,1,1225266.75,235181.13
5001808,2,1269909.37,216342.20
5001808,1,1195652.43,214525.26
5001827,1,1268207.50,231167.06
5001827,2,1225194.56,246965.15
5001939,1,1225255.73,234789.06
5001939,2,1275987.75,242779.65
5001970,2,1202012.25,126160.57
5001988,2,1225369.22,234580.66
5001988,1,1129289.18,609324.96
5002055,1,1188392.94,213297.04
5002060,2,1191237.88,212998.06
5002060,1,1194976.73,209178.62
5002077,1,1195053.86,228782.51
5002077,2,1188921.54,251625.69
5002077,3,1184842.97,244555.42
5002077,4,1182544.62,243501.23
5002139,1,1317273.50,216467.73
5002139,2,1215319.54,235751.11
5002156,1,1188906.20,211129.06
5002222,1,,
5002249,2,1268430.42,228343.99
5002254,1,1183314.83,221413.57
5002381,1,1174174.12,264138.65
5002387,2,1194976.73,209178.62
5002400,1,1267282.37,227398.60
5002472,1,1194976.73,209178.62
5002508,1,1147681.90,238933.94
5002537,1,1220487.50,189227.67
5002569,2,1270107.29,227662.19
5002569,1,1225109.12,232540.26
5002569,3,1225109.12,232540.26
5002626,1,1211064.12,108985.36
5002661,1,1349041.53,72503.62
5002661,2,1182720.88,243880.95
5002685,1,1194276.62,200936.39
5002685,2,1274988.90,295859.70
5002750,1,1273182.12,228515.90
5002750,2,1211339.00,247818.19
5002861,1,1188142.25,161175.84
5002861,2,,
5002865,2,1177816.09,261936.83
5002867,1,1216315.25,269520.37
5002867,2,1275418.53,244278.39
5002908,2,,
5002920,1,1200351.65,261021.60
5002926,2,1270178.09,224309.72
5002927,2,,
5002927,1,,
5002930,1,1314811.37,233353.81
5002930,2,1181859.75,245550.84
5002930,3,,
5002957,1,,
5003008,2,1198850.72,271714.41
5003012,1,1177816.09,261936.83
5003012,2,1194976.73,209178.62
5003026,2,1195714.98,221392.37
5003026,3,1193473.38,212303.19
5003050,1,1189458.62,258121.96
5003050,2,1197936.00,217879.76
5003077,1,1198039.62,227493.34
5003077,2,1196633.75,213772.01
5003103,2,1208758.37,271298.13
5003135,2,1182093.87,216030.50
5003192,2,1181493.86,243028.00
5003192,1,1175925.36,265453.05
5003201,1,1276948.95,112990.46
5003201,2,1190853.67,192542.08
5003204,1,1191149.50,287211.62
5003204,2,,
5003268,3,1269609.67,224832.98
5003268,1,1175925.36,265453.05
5003299,3,1181571.93,242528.01
5003299,2,1194976.73,209178.62
5003299,4,1194976.73,209178.62
5003362,1,,
5003362,2,,
5003382,2,1181424.01,244969.19
5003382,1,1177816.09,261936.83
5003430,1,,
5003458,1,1184721.31,244426.91
5003458,3,1197924.80,218613.42
5003458,2,1175925.36,265453.05
5003514,1,1202702.50,213208.81
5003577,2,1200351.65,261021.60
5003618,2,1215996.50,205782.28
5003618,1,1201425.24,189593.17
5003621,2,1270462.83,224655.90
